,O,H,L,C,V,C2,SS,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2014-01-06,2680.0,2710.0,2670.0,2710.0,550000.0,2710.0,0.1,,1.1308794800699934e-42,8.656e-321,8.04e-321,0.0,0.0,0.0,0.0,0.0
2014-01-07,2710.0,2720.0,2670.0,2680.0,470000.0,2680.0,0.1,2710.0,5.151535413373447e-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,2680.0,2700.0,2680.0,2700.0,388000.0,2700.0,0.1,2680.0,3.003030357967494e-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,2700.0,2700.0,2670.0,2680.0,311000.0,2680.0,0.1,2700.0,3.896589863089465e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,2660.0,2680.0,2650.0,2670.0,453000.0,2670.0,0.1,2680.0,3.118498915578217e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,2660.0,2680.0,2650.0,2660.0,361000.0,2660.0,0.1,2670.0,5.345042118041843e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,2690.0,2690.0,2660.0,2680.0,361000.0,2680.0,0.1,2660.0,1.3710005771336783e-71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-16,2690.0,2700.0,2680.0,2680.0,291000.0,2680.0,0.1,2680.0,5.048899407731918e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,2680.0,2700.0,2680.0,2690.0,391000.0,2690.0,0.1,2680.0,1.3049081195278903e-76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-20,2700.0,2710.0,2690.0,2700.0,519000.0,2700.0,0.1,2690.0,-1.0560955963453095e-54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-21,2710.0,2740.0,2700.0,2730.0,826000.0,2730.0,0.1,2700.0,2700.0,2700.0,35.0,0.0,-10989.0,0.0,-10989.0,-10989.0
2014-01-22,2730.0,2750.0,2720.0,2740.0,490000.0,2740.0,0.1,2730.0,2765.0,2695.0,26.0,0.0,0.0,0.0,-10989.0,-10989.0
2014-01-23,2750.0,2750.0,2710.0,2710.0,368000.0,2710.0,0.1,2740.0,2766.0,2714.0,35.0,0.0,8921.0,0.0,-2068.0,-2068.0
2014-01-24,2690.0,2710.0,2690.0,2690.0,418000.0,2690.0,0.1,2710.0,2745.0,2675.0,18.0,0.0,0.0,0.0,-2068.0,-2068.0
2014-01-27,2670.0,2690.0,2660.0,2660.0,555000.0,2660.0,0.1,2690.0,2708.0,2672.0,26.0,0.0,0.0,0.0,-2068.0,-2068.0
2014-01-28,2680.0,2690.0,2660.0,2660.0,361000.0,2660.0,0.1,2660.0,2686.0,2634.0,26.0,-2233.0,0.0,-2233.0,-2068.0,-4301.0
2014-01-29,2680.0,2700.0,2670.0,2700.0,204000.0,2700.0,0.1,2660.0,2686.0,2634.0,35.0,-2233.0,0.0,-4466.0,-2068.0,-6534.0
2014-01-30,2680.0,2680.0,2660.0,2660.0,307000.0,2660.0,0.1,2700.0,2735.0,2665.0,35.0,0.0,-5597.0,-4466.0,-7665.0,-12131.0
2014-01-31,2680.0,2690.0,2650.0,2670.0,389000.0,2670.0,0.1,2660.0,2695.0,2625.0,35.0,0.0,0.0,-4466.0,-7665.0,-12131.0
2014-02-03,2650.0,2680.0,2620.0,2620.0,498000.0,2620.0,0.1,2670.0,2705.0,2635.0,52.0,0.0,21317.0,-4466.0,13652.0,9186.0
2014-02-04,2580.0,2590.0,2520.0,2540.0,1117000.0,2540.0,0.1,2620.0,2672.0,2568.0,86.0,0.0,11023.0,-4466.0,24675.0,20209.0
2014-02-05,2540.0,2580.0,2520.0,2540.0,838000.0,2540.0,0.1,2540.0,2626.0,2454.0,52.0,0.0,0.0,-4466.0,24675.0,20209.0
2014-02-06,2580.0,2630.0,2580.0,2590.0,810000.0,2590.0,0.1,2540.0,2592.0,2488.0,77.0,14660.0,0.0,10194.0,24675.0,34869.0
2014-02-07,2630.0,2690.0,2600.0,2670.0,945000.0,2670.0,0.1,2590.0,2667.0,2513.0,86.0,4874.0,0.0,15068.0,24675.0,39743.0
2014-02-10,2680.0,2690.0,2660.0,2690.0,485000.0,2690.0,0.1,2670.0,2756.0,2584.0,26.0,0.0,0.0,15068.0,24675.0,39743.0
2014-02-12,2700.0,2720.0,2680.0,2710.0,610000.0,2710.0,0.1,2690.0,2716.0,2664.0,35.0,-5891.0,0.0,9177.0,24675.0,33852.0
2014-02-13,2700.0,2710.0,2660.0,2660.0,573000.0,2660.0,0.1,2710.0,2745.0,2675.0,43.0,0.0,1872.0,9177.0,26547.0,35724.0
2014-02-14,2670.0,2680.0,2620.0,2630.0,487000.0,2630.0,0.1,2660.0,2703.0,2617.0,52.0,0.0,0.0,9177.0,26547.0,35724.0
2014-02-17,2650.0,2670.0,2610.0,2660.0,253000.0,2660.0,0.1,2630.0,2682.0,2578.0,52.0,0.0,0.0,9177.0,26547.0,35724.0
2014-02-18,2660.0,2680.0,2640.0,2670.0,287000.0,2670.0,0.1,2660.0,2712.0,2608.0,35.0,0.0,0.0,9177.0,26547.0,35724.0
2014-02-19,2680.0,2690.0,2660.0,2670.0,256000.0,2670.0,0.1,2670.0,2705.0,2635.0,26.0,0.0,0.0,9177.0,26547.0,35724.0
2014-02-20,2680.0,2710.0,2670.0,2680.0,680000.0,2680.0,0.1,2670.0,2696.0,2644.0,35.0,1483.0,0.0,10660.0,26547.0,37207.0
2014-02-21,2700.0,2710.0,2680.0,2710.0,381000.0,2710.0,0.1,2680.0,2715.0,2645.0,26.0,0.0,0.0,10660.0,26547.0,37207.0
2014-02-24,2700.0,2730.0,2690.0,2730.0,422000.0,2730.0,0.1,2710.0,2736.0,2684.0,35.0,0.0,0.0,10660.0,26547.0,37207.0
2014-02-25,2730.0,2740.0,2700.0,2710.0,522000.0,2710.0,0.1,2730.0,2765.0,2695.0,35.0,0.0,0.0,10660.0,26547.0,37207.0
2014-02-26,2710.0,2720.0,2700.0,2700.0,240000.0,2700.0,0.1,2710.0,2745.0,2675.0,18.0,0.0,0.0,10660.0,26547.0,37207.0
2014-02-27,2710.0,2720.0,2690.0,2690.0,298000.0,2690.0,0.1,2700.0,2718.0,2682.0,26.0,-6622.0,0.0,4038.0,26547.0,30585.0
2014-02-28,2700.0,2710.0,2650.0,2670.0,477000.0,2670.0,0.1,2690.0,2716.0,2664.0,52.0,0.0,1503.0,4038.0,28050.0,32088.0
2014-03-03,2660.0,2690.0,2640.0,2690.0,492000.0,2690.0,0.1,2670.0,2722.0,2618.0,43.0,0.0,0.0,4038.0,28050.0,32088.0
2014-03-04,2660.0,2690.0,2660.0,2690.0,292000.0,2690.0,0.1,2690.0,2733.0,2647.0,26.0,0.0,0.0,4038.0,28050.0,32088.0
2014-03-05,2700.0,2700.0,2680.0,2700.0,193000.0,2700.0,0.1,2690.0,2716.0,2664.0,18.0,0.0,0.0,4038.0,28050.0,32088.0
2014-03-06,2700.0,2700.0,2680.0,2690.0,317000.0,2690.0,0.1,2700.0,2718.0,2682.0,18.0,0.0,-6666.0,4038.0,21384.0,25422.0
2014-03-07,2700.0,2710.0,2690.0,2710.0,203000.0,2710.0,0.1,2690.0,2708.0,2672.0,18.0,4431.0,0.0,8469.0,21384.0,29853.0
2014-03-10,2720.0,2730.0,2700.0,2720.0,356000.0,2720.0,0.1,2710.0,2728.0,2692.0,26.0,-2932.0,0.0,5537.0,21384.0,26921.0
2014-03-11,2720.0,2730.0,2700.0,2710.0,509000.0,2710.0,0.1,2720.0,2746.0,2694.0,26.0,0.0,0.0,5537.0,21384.0,26921.0
2014-03-12,2710.0,2730.0,2700.0,2710.0,507000.0,2710.0,0.1,2710.0,2736.0,2684.0,26.0,0.0,0.0,5537.0,21384.0,26921.0
2014-03-13,2710.0,2730.0,2690.0,2690.0,426000.0,2690.0,0.1,2710.0,2736.0,2684.0,35.0,0.0,0.0,5537.0,21384.0,26921.0
2014-03-14,2680.0,2690.0,2660.0,2660.0,605000.0,2660.0,0.1,2690.0,2725.0,2655.0,26.0,0.0,0.0,5537.0,21384.0,26921.0
2014-03-17,2670.0,2670.0,2640.0,2650.0,423000.0,2650.0,0.1,2660.0,2686.0,2634.0,26.0,0.0,0.0,5537.0,21384.0,26921.0
2014-03-18,2670.0,2680.0,2660.0,2670.0,286000.0,2670.0,0.1,2650.0,2676.0,2624.0,26.0,-2242.0,0.0,3295.0,21384.0,24679.0
2014-03-19,2670.0,2690.0,2660.0,2670.0,267000.0,2670.0,0.1,2670.0,2696.0,2644.0,26.0,0.0,0.0,3295.0,21384.0,24679.0
2014-03-20,2670.0,2680.0,2650.0,2650.0,367000.0,2650.0,0.1,2670.0,2696.0,2644.0,26.0,0.0,0.0,3295.0,21384.0,24679.0
2014-03-24,2670.0,2710.0,2660.0,2690.0,589000.0,2690.0,0.1,2650.0,2676.0,2624.0,52.0,12705.0,0.0,16000.0,21384.0,37384.0
2014-03-25,2710.0,2720.0,2690.0,2700.0,751000.0,2700.0,0.1,2690.0,2742.0,2638.0,26.0,0.0,0.0,16000.0,21384.0,37384.0
2014-03-26,2690.0,2700.0,2660.0,2660.0,1780000.0,2660.0,0.1,2700.0,2726.0,2674.0,35.0,0.0,44531.0,16000.0,65915.0,81915.0
2014-03-27,2560.0,2650.0,2550.0,2640.0,988000.0,2640.0,0.1,2660.0,2695.0,2625.0,94.0,0.0,0.0,16000.0,65915.0,81915.0
2014-03-28,2600.0,2640.0,2600.0,2640.0,325000.0,2640.0,0.1,2640.0,2734.0,2546.0,35.0,0.0,0.0,16000.0,65915.0,81915.0
2014-03-31,2630.0,2640.0,2610.0,2620.0,255000.0,2620.0,0.1,2640.0,2675.0,2605.0,26.0,0.0,0.0,16000.0,65915.0,81915.0
2014-04-01,2610.0,2630.0,2610.0,2630.0,218000.0,2630.0,0.1,2620.0,2646.0,2594.0,18.0,0.0,0.0,16000.0,65915.0,81915.0
2014-04-02,2610.0,2650.0,2610.0,2620.0,386000.0,2620.0,0.1,2630.0,2648.0,2612.0,35.0,-10574.0,0.0,5426.0,65915.0,71341.0
2014-04-03,2620.0,2640.0,2610.0,2640.0,223000.0,2640.0,0.1,2620.0,2655.0,2585.0,26.0,0.0,0.0,5426.0,65915.0,71341.0
2014-04-04,2630.0,2650.0,2620.0,2630.0,234000.0,2630.0,0.1,2640.0,2666.0,2614.0,26.0,0.0,0.0,5426.0,65915.0,71341.0
2014-04-07,2620.0,2620.0,2600.0,2600.0,177000.0,2600.0,0.1,2630.0,2656.0,2604.0,26.0,0.0,1538.0,5426.0,67453.0,72879.0
2014-04-08,2600.0,2630.0,2590.0,2610.0,356000.0,2610.0,0.1,2600.0,2626.0,2574.0,35.0,-9900.0,0.0,-4474.0,67453.0,62979.0
2014-04-09,2600.0,2600.0,2560.0,2560.0,284000.0,2560.0,0.1,2610.0,2645.0,2575.0,43.0,0.0,-1937.0,-4474.0,65516.0,61042.0
2014-04-10,2580.0,2610.0,2570.0,2580.0,212000.0,2580.0,0.1,2560.0,2603.0,2517.0,43.0,-20361.0,0.0,-24835.0,65516.0,40681.0
2014-04-11,2550.0,2590.0,2550.0,2560.0,263000.0,2560.0,0.1,2580.0,2623.0,2537.0,35.0,0.0,0.0,-24835.0,65516.0,40681.0
2014-04-14,2540.0,2590.0,2540.0,2560.0,140000.0,2560.0,0.1,2560.0,2595.0,2525.0,43.0,0.0,0.0,-24835.0,65516.0,40681.0
2014-04-15,2580.0,2600.0,2580.0,2590.0,182000.0,2590.0,0.1,2560.0,2603.0,2517.0,35.0,0.0,0.0,-24835.0,65516.0,40681.0
2014-04-16,2590.0,2620.0,2590.0,2610.0,189000.0,2610.0,0.1,2590.0,2625.0,2555.0,26.0,0.0,0.0,-24835.0,65516.0,40681.0
2014-04-17,2620.0,2630.0,2580.0,2610.0,395000.0,2610.0,0.1,2610.0,2636.0,2584.0,43.0,0.0,-13740.0,-24835.0,51776.0,26941.0
2014-04-18,2620.0,2630.0,2610.0,2630.0,144000.0,2630.0,0.1,2610.0,2653.0,2567.0,18.0,0.0,0.0,-24835.0,51776.0,26941.0
2014-04-21,2630.0,2640.0,2620.0,2630.0,159000.0,2630.0,0.1,2630.0,2648.0,2612.0,18.0,0.0,0.0,-24835.0,51776.0,26941.0
2014-04-22,2630.0,2640.0,2620.0,2620.0,85000.0,2620.0,0.1,2630.0,2648.0,2612.0,18.0,0.0,0.0,-24835.0,51776.0,26941.0
2014-04-23,2610.0,2630.0,2610.0,2630.0,170000.0,2630.0,0.1,2620.0,2638.0,2602.0,18.0,0.0,0.0,-24835.0,51776.0,26941.0
2014-04-24,2630.0,2640.0,2630.0,2640.0,154000.0,2640.0,0.1,2630.0,2648.0,2612.0,9.0,0.0,0.0,-24835.0,51776.0,26941.0
2014-04-25,2630.0,2650.0,2620.0,2650.0,183000.0,2650.0,0.1,2640.0,2649.0,2631.0,26.0,-7172.0,0.0,-32007.0,51776.0,19769.0
2014-04-28,2630.0,2650.0,2610.0,2650.0,118000.0,2650.0,0.1,2650.0,2676.0,2624.0,35.0,0.0,-6060.0,-32007.0,45716.0,13709.0
2014-04-30,2640.0,2650.0,2630.0,2640.0,181000.0,2640.0,0.1,2650.0,2685.0,2615.0,18.0,0.0,0.0,-32007.0,45716.0,13709.0
2014-05-01,2630.0,2660.0,2630.0,2660.0,230000.0,2660.0,0.1,2640.0,2658.0,2622.0,26.0,-6772.0,0.0,-38779.0,45716.0,6937.0
2014-05-02,2640.0,2640.0,2620.0,2640.0,120000.0,2640.0,0.1,2660.0,2686.0,2634.0,35.0,0.0,5343.0,-38779.0,51059.0,12280.0
2014-05-07,2620.0,2620.0,2600.0,2600.0,188000.0,2600.0,0.1,2640.0,2675.0,2605.0,35.0,0.0,-5725.0,-38779.0,45334.0,6555.0
2014-05-08,2620.0,2640.0,2610.0,2610.0,149000.0,2610.0,0.1,2600.0,2635.0,2565.0,35.0,-5692.0,0.0,-44471.0,45334.0,863.0
2014-05-09,2620.0,2630.0,2600.0,2610.0,210000.0,2610.0,0.1,2610.0,2645.0,2575.0,26.0,0.0,0.0,-44471.0,45334.0,863.0
2014-05-12,2600.0,2610.0,2560.0,2560.0,182000.0,2560.0,0.1,2610.0,2636.0,2584.0,43.0,0.0,5447.0,-44471.0,50781.0,6310.0
2014-05-13,2570.0,2580.0,2560.0,2560.0,185000.0,2560.0,0.1,2560.0,2603.0,2517.0,18.0,0.0,0.0,-44471.0,50781.0,6310.0
2014-05-14,2560.0,2570.0,2560.0,2560.0,88000.0,2560.0,0.1,2560.0,2578.0,2542.0,9.0,0.0,0.0,-44471.0,50781.0,6310.0
2014-05-15,2570.0,2570.0,2560.0,2570.0,64000.0,2570.0,0.1,2560.0,2569.0,2551.0,9.0,0.0,0.0,-44471.0,50781.0,6310.0
2014-05-16,2560.0,2560.0,2540.0,2540.0,241000.0,2540.0,0.1,2570.0,2579.0,2561.0,26.0,0.0,0.0,-44471.0,50781.0,6310.0
2014-05-19,2540.0,2550.0,2510.0,2520.0,168000.0,2520.0,0.1,2540.0,2566.0,2514.0,35.0,0.0,-2380.0,-44471.0,48401.0,3930.0
2014-05-20,2520.0,2530.0,2510.0,2530.0,195000.0,2530.0,0.1,2520.0,2555.0,2485.0,18.0,0.0,0.0,-44471.0,48401.0,3930.0
2014-05-21,2510.0,2520.0,2500.0,2510.0,128000.0,2510.0,0.1,2530.0,2548.0,2512.0,26.0,0.0,0.0,-44471.0,48401.0,3930.0
2014-05-22,2520.0,2550.0,2520.0,2550.0,95000.0,2550.0,0.1,2510.0,2536.0,2484.0,35.0,9463.0,0.0,-35008.0,48401.0,13393.0
2014-05-23,2560.0,2560.0,2550.0,2560.0,84000.0,2560.0,0.1,2550.0,2585.0,2515.0,9.0,0.0,0.0,-35008.0,48401.0,13393.0
2014-05-26,2560.0,2590.0,2550.0,2590.0,162000.0,2590.0,0.1,2560.0,2569.0,2551.0,35.0,4281.0,-11240.0,-30727.0,37161.0,6434.0
2014-05-27,2580.0,2600.0,2580.0,2590.0,101000.0,2590.0,0.1,2590.0,2625.0,2555.0,18.0,0.0,0.0,-30727.0,37161.0,6434.0
2014-05-28,2590.0,2590.0,2580.0,2590.0,79000.0,2590.0,0.1,2590.0,2608.0,2572.0,9.0,0.0,0.0,-30727.0,37161.0,6434.0
2014-05-29,2590.0,2620.0,2570.0,2590.0,244000.0,2590.0,0.1,2590.0,2599.0,2581.0,43.0,384.0,-7307.0,-30343.0,29854.0,-489.0
2014-05-30,2600.0,2610.0,2580.0,2590.0,147000.0,2590.0,0.1,2590.0,2633.0,2547.0,26.0,0.0,0.0,-30343.0,29854.0,-489.0
2014-06-02,2590.0,2610.0,2590.0,2610.0,109000.0,2610.0,0.1,2590.0,2616.0,2564.0,18.0,0.0,0.0,-30343.0,29854.0,-489.0
2014-06-03,2610.0,2620.0,2600.0,2620.0,148000.0,2620.0,0.1,2610.0,2628.0,2592.0,18.0,0.0,0.0,-30343.0,29854.0,-489.0
2014-06-04,2610.0,2620.0,2600.0,2620.0,124000.0,2620.0,0.1,2620.0,2638.0,2602.0,18.0,0.0,-14393.0,-30343.0,15461.0,-14882.0
2014-06-05,2640.0,2640.0,2600.0,2610.0,300000.0,2610.0,0.1,2620.0,2638.0,2602.0,35.0,0.0,-3065.0,-30343.0,12396.0,-17947.0
2014-06-06,2610.0,2620.0,2600.0,2620.0,163000.0,2620.0,0.1,2610.0,2645.0,2575.0,18.0,0.0,0.0,-30343.0,12396.0,-17947.0
2014-06-09,2620.0,2630.0,2610.0,2610.0,193000.0,2610.0,0.1,2620.0,2638.0,2602.0,18.0,0.0,0.0,-30343.0,12396.0,-17947.0
2014-06-10,2610.0,2620.0,2590.0,2590.0,194000.0,2590.0,0.1,2610.0,2628.0,2592.0,26.0,0.0,20472.0,-30343.0,32868.0,2525.0
2014-06-11,2540.0,2570.0,2540.0,2560.0,378000.0,2560.0,0.1,2590.0,2616.0,2564.0,43.0,0.0,0.0,-30343.0,32868.0,2525.0
2014-06-12,2560.0,2580.0,2560.0,2560.0,173000.0,2560.0,0.1,2560.0,2603.0,2517.0,18.0,0.0,0.0,-30343.0,32868.0,2525.0
2014-06-13,2550.0,2580.0,2550.0,2570.0,294000.0,2570.0,0.1,2560.0,2578.0,2542.0,26.0,775.0,0.0,-29568.0,32868.0,3300.0
2014-06-16,2580.0,2590.0,2570.0,2580.0,92000.0,2580.0,0.1,2570.0,2596.0,2544.0,18.0,0.0,0.0,-29568.0,32868.0,3300.0
2014-06-17,2580.0,2600.0,2570.0,2570.0,209000.0,2570.0,0.1,2580.0,2598.0,2562.0,26.0,769.0,0.0,-28799.0,32868.0,4069.0
2014-06-18,2600.0,2600.0,2570.0,2580.0,98000.0,2580.0,0.1,2570.0,2596.0,2544.0,26.0,0.0,0.0,-28799.0,32868.0,4069.0
2014-06-19,2600.0,2600.0,2580.0,2600.0,201000.0,2600.0,0.1,2580.0,2606.0,2554.0,18.0,0.0,0.0,-28799.0,32868.0,4069.0
2014-06-20,2590.0,2610.0,2560.0,2560.0,327000.0,2560.0,0.1,2600.0,2618.0,2582.0,43.0,0.0,8593.0,-28799.0,41461.0,12662.0
2014-06-23,2560.0,2580.0,2560.0,2570.0,120000.0,2570.0,0.1,2560.0,2603.0,2517.0,18.0,0.0,0.0,-28799.0,41461.0,12662.0
2014-06-24,2570.0,2620.0,2570.0,2610.0,293000.0,2610.0,0.1,2570.0,2588.0,2552.0,43.0,12364.0,0.0,-16435.0,41461.0,25026.0
2014-06-25,2620.0,2630.0,2600.0,2600.0,230000.0,2600.0,0.1,2610.0,2653.0,2567.0,26.0,0.0,0.0,-16435.0,41461.0,25026.0
2014-06-26,2600.0,2610.0,2590.0,2590.0,74000.0,2590.0,0.1,2600.0,2626.0,2574.0,18.0,0.0,0.0,-16435.0,41461.0,25026.0
2014-06-27,2610.0,2610.0,2560.0,2560.0,227000.0,2560.0,0.1,2590.0,2608.0,2572.0,43.0,0.0,778.0,-16435.0,42239.0,25804.0
2014-06-30,2570.0,2600.0,2570.0,2600.0,126000.0,2600.0,0.1,2560.0,2603.0,2517.0,35.0,0.0,0.0,-16435.0,42239.0,25804.0
