,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,rng200,avg200,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2014-10-27,2480.0,2510.0,2480.0,2490.0,139000.0,2490.0,0.1,0.86,0.01,0.4,-0.02,0.31,-0.05,,1.414368e+18,4.64e-322,,0.0,0.0,0.0,0.0,0.0
2014-10-28,2510.0,2580.0,2510.0,2570.0,508000.0,2570.0,0.1,0.83,0.01,0.43,-0.02,0.33,-0.04,2490.0,1.4144544e+18,0.0,2490.0,0.0,0.0,0.0,0.0,0.0
2014-10-29,2580.0,2590.0,2560.0,2590.0,271000.0,2590.0,0.1,0.94,0.03,0.7,0.02,0.54,-0.01,2570.0,1.4145408e+18,0.0,2570.0,0.0,0.0,0.0,0.0,0.0
2014-10-30,2580.0,2600.0,2560.0,2570.0,352000.0,2570.0,0.1,1.0,0.04,0.77,0.02,0.59,-0.0,2590.0,1.4146272e+18,0.0,2590.0,0.0,0.0,0.0,0.0,0.0
2014-10-31,2590.0,2600.0,2570.0,2600.0,292000.0,2600.0,0.1,0.8,0.02,0.7,0.02,0.54,-0.01,2570.0,1.4147136e+18,0.0,2570.0,0.0,0.0,0.0,0.0,0.0
2014-11-04,2630.0,2630.0,2580.0,2590.0,310000.0,2590.0,0.1,1.0,0.02,0.8,0.03,0.62,0.0,2600.0,1.4150592e+18,0.0,2600.0,0.0,0.0,0.0,0.0,0.0
2014-11-05,2590.0,2620.0,2570.0,2600.0,325000.0,2600.0,0.1,0.75,0.01,0.77,0.02,0.59,-0.0,2590.0,1.4151456e+18,0.0,2590.0,0.0,0.0,0.0,0.0,0.0
2014-11-06,2610.0,2620.0,2580.0,2580.0,173000.0,2580.0,0.1,0.8,0.01,0.8,0.03,0.62,0.0,2600.0,1.415232e+18,0.0,2600.0,0.0,0.0,0.0,0.0,0.0
2014-11-07,2590.0,2610.0,2590.0,2610.0,160000.0,2610.0,0.1,0.58,-0.0,0.73,0.02,0.56,-0.01,2580.0,1.4153184e+18,0.0,2580.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,2600.0,2600.0,2580.0,2600.0,175000.0,2600.0,0.1,0.71,0.01,0.83,0.03,0.64,0.01,2610.0,1.4155776e+18,0.0,2610.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,2590.0,2610.0,2580.0,2610.0,315000.0,2610.0,0.1,0.57,0.0,0.8,0.02,0.62,0.0,2600.0,5210.0,-10.0,26.0,0.0,0.0,0.0,0.0,0.0
2014-11-12,2610.0,2610.0,2580.0,2580.0,227000.0,2580.0,0.1,0.67,0.0,0.86,0.03,0.64,0.01,2610.0,2636.0,2584.0,26.0,0.0,1550.0,0.0,1550.0,1550.0
2014-11-13,2580.0,2620.0,2580.0,2620.0,235000.0,2620.0,0.1,0.17,-0.01,0.79,0.02,0.56,-0.01,2580.0,2606.0,2554.0,35.0,9209.0,0.0,9209.0,1550.0,10759.0
2014-11-14,2630.0,2630.0,2610.0,2630.0,306000.0,2630.0,0.1,1.0,0.01,0.96,0.03,0.68,0.01,2620.0,2655.0,2585.0,18.0,0.0,0.0,9209.0,1550.0,10759.0
2014-11-17,2630.0,2630.0,2600.0,2610.0,217000.0,2610.0,0.1,1.0,0.01,1.0,0.04,0.71,0.01,2630.0,2648.0,2612.0,26.0,0.0,-3053.0,9209.0,-1503.0,7706.0
2014-11-18,2620.0,2650.0,2620.0,2640.0,334000.0,2640.0,0.1,0.6,0.0,0.93,0.03,0.66,0.01,2610.0,2636.0,2584.0,35.0,1517.0,0.0,10726.0,-1503.0,9223.0
2014-11-19,2640.0,2650.0,2590.0,2600.0,418000.0,2600.0,0.1,0.86,0.01,0.97,0.04,0.74,0.02,2640.0,2675.0,2605.0,52.0,0.0,-5725.0,10726.0,-7228.0,3498.0
2014-11-20,2620.0,2620.0,2600.0,2600.0,317000.0,2600.0,0.1,0.29,-0.0,0.83,0.02,0.63,0.0,2600.0,2652.0,2548.0,18.0,0.0,0.0,10726.0,-7228.0,3498.0
2014-11-21,2610.0,2640.0,2600.0,2620.0,280000.0,2620.0,0.1,0.29,-0.0,0.83,0.02,0.63,0.0,2600.0,2618.0,2582.0,35.0,4583.0,0.0,15309.0,-7228.0,8081.0
2014-11-25,2630.0,2690.0,2620.0,2670.0,815000.0,2670.0,0.1,0.57,0.0,0.9,0.03,0.68,0.01,2620.0,2655.0,2585.0,60.0,9416.0,0.0,24725.0,-7228.0,17497.0
2014-11-26,2680.0,2710.0,2670.0,2670.0,1113000.0,2670.0,0.1,0.8,0.02,0.94,0.05,0.82,0.03,2670.0,2730.0,2610.0,35.0,0.0,0.0,24725.0,-7228.0,17497.0
2014-11-27,2680.0,2690.0,2650.0,2670.0,408000.0,2670.0,0.1,0.67,0.02,0.89,0.04,0.82,0.03,2670.0,2705.0,2635.0,35.0,0.0,0.0,24725.0,-7228.0,17497.0
2014-11-28,2700.0,2730.0,2680.0,2730.0,630000.0,2730.0,0.1,0.67,0.01,0.89,0.04,0.82,0.03,2670.0,2705.0,2635.0,52.0,16635.0,0.0,41360.0,-7228.0,34132.0
2014-12-01,2750.0,2760.0,2710.0,2720.0,622000.0,2720.0,0.1,1.0,0.03,1.0,0.06,0.97,0.05,2730.0,2782.0,2678.0,43.0,0.0,0.0,41360.0,-7228.0,34132.0
2014-12-02,2720.0,2730.0,2690.0,2720.0,602000.0,2720.0,0.1,0.75,0.02,0.89,0.05,0.9,0.05,2720.0,2763.0,2677.0,35.0,0.0,0.0,41360.0,-7228.0,34132.0
2014-12-03,2710.0,2730.0,2700.0,2730.0,359000.0,2730.0,0.1,0.75,0.01,0.88,0.05,0.9,0.05,2720.0,2755.0,2685.0,26.0,0.0,0.0,41360.0,-7228.0,34132.0
2014-12-04,2730.0,2740.0,2700.0,2720.0,417000.0,2720.0,0.1,0.79,0.01,0.91,0.05,0.92,0.05,2730.0,2756.0,2704.0,35.0,0.0,-2214.0,41360.0,-9442.0,31918.0
2014-12-05,2710.0,2730.0,2710.0,2730.0,366000.0,2730.0,0.1,0.64,0.0,0.87,0.04,0.9,0.05,2720.0,2755.0,2685.0,18.0,0.0,0.0,41360.0,-9442.0,31918.0
2014-12-08,2730.0,2740.0,2700.0,2730.0,415000.0,2730.0,0.1,0.73,0.0,0.9,0.04,0.92,0.05,2730.0,2748.0,2712.0,35.0,0.0,-2941.0,41360.0,-12383.0,28977.0
2014-12-09,2720.0,2740.0,2710.0,2730.0,236000.0,2730.0,0.1,0.62,0.0,0.9,0.04,0.92,0.05,2730.0,2765.0,2695.0,26.0,0.0,0.0,41360.0,-12383.0,28977.0
2014-12-10,2720.0,2730.0,2700.0,2700.0,429000.0,2700.0,0.1,0.57,0.0,0.89,0.04,0.92,0.05,2730.0,2756.0,2704.0,26.0,0.0,5204.0,41360.0,-7179.0,34181.0
2014-12-11,2690.0,2720.0,2680.0,2710.0,236000.0,2710.0,0.1,0.2,-0.01,0.76,0.02,0.85,0.04,2700.0,2726.0,2674.0,35.0,0.0,0.0,41360.0,-7179.0,34181.0
2014-12-12,2720.0,2750.0,2720.0,2730.0,442000.0,2730.0,0.1,0.5,-0.0,0.75,0.02,0.88,0.04,2710.0,2745.0,2675.0,35.0,-9107.0,0.0,32253.0,-7179.0,25074.0
2014-12-15,2720.0,2740.0,2700.0,2700.0,342000.0,2700.0,0.1,0.71,0.0,0.85,0.03,0.92,0.05,2730.0,2765.0,2695.0,35.0,0.0,0.0,32253.0,-7179.0,25074.0
2014-12-16,2700.0,2740.0,2660.0,2660.0,521000.0,2660.0,0.1,0.29,-0.01,0.68,0.02,0.85,0.04,2700.0,2735.0,2665.0,69.0,-31078.0,5660.0,1175.0,-1519.0,-344.0
2014-12-17,2650.0,2670.0,2630.0,2640.0,393000.0,2640.0,0.1,0.0,-0.02,0.47,-0.0,0.75,0.02,2660.0,2729.0,2591.0,35.0,0.0,0.0,1175.0,-1519.0,-344.0
2014-12-18,2660.0,2690.0,2650.0,2670.0,223000.0,2670.0,0.1,0.08,-0.02,0.37,-0.01,0.7,0.02,2640.0,2675.0,2605.0,43.0,-1869.0,0.0,-694.0,-1519.0,-2213.0
2014-12-19,2670.0,2690.0,2660.0,2690.0,290000.0,2690.0,0.1,0.33,-0.01,0.5,0.0,0.78,0.03,2670.0,2713.0,2627.0,26.0,0.0,0.0,-694.0,-1519.0,-2213.0
2014-12-22,2700.0,2720.0,2680.0,2720.0,174000.0,2720.0,0.1,0.5,0.0,0.61,0.01,0.82,0.04,2690.0,2716.0,2664.0,35.0,1472.0,0.0,778.0,-1519.0,-741.0
2014-12-24,2720.0,2730.0,2720.0,2730.0,193000.0,2730.0,0.1,0.75,0.01,0.78,0.02,0.9,0.05,2720.0,2755.0,2685.0,9.0,0.0,0.0,778.0,-1519.0,-741.0
2014-12-25,2720.0,2730.0,2700.0,2730.0,227000.0,2730.0,0.1,0.91,0.02,0.83,0.02,0.92,0.05,2730.0,2739.0,2721.0,26.0,0.0,0.0,778.0,-1519.0,-741.0
2014-12-26,2720.0,2730.0,2710.0,2730.0,105000.0,2730.0,0.1,0.91,0.01,0.83,0.02,0.92,0.05,2730.0,2756.0,2704.0,18.0,0.0,0.0,778.0,-1519.0,-741.0
2014-12-29,2730.0,2750.0,2720.0,2740.0,256000.0,2740.0,0.1,1.0,0.01,0.83,0.02,0.92,0.05,2730.0,2748.0,2712.0,26.0,727.0,0.0,1505.0,-1519.0,-14.0
2014-12-30,2750.0,2880.0,2740.0,2750.0,1424000.0,2750.0,0.1,0.9,0.01,0.88,0.02,0.95,0.06,2740.0,1.4198976e+18,0.0,2740.0,0.0,0.0,0.0,0.0,0.0
