,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,rng200,avg200,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2017-10-24,3620.0,3650.0,3605.0,3630.0,32700.0,3630.0,1.0,0.5,-0.0,0.84,0.06,0.92,0.18,,6.2388768e-316,6.08622394e-316,6.23625943e-316,0.0,0.0,0.0,0.0,0.0
2017-10-25,3610.0,3635.0,3590.0,3600.0,38400.0,3600.0,1.0,0.45,-0.01,0.83,0.05,0.92,0.17,3630.0,3.2532784e-316,3.2532784e-316,3.2532784e-316,0.0,0.0,0.0,0.0,0.0
2017-10-26,3565.0,3620.0,3540.0,3560.0,45700.0,3560.0,1.0,0.08,-0.01,0.78,0.04,0.89,0.16,3600.0,1.61898e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-27,3560.0,3605.0,3560.0,3600.0,39800.0,3600.0,1.0,0.11,-0.02,0.7,0.03,0.85,0.15,3560.0,6.1633136e-316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-30,3620.0,3675.0,3585.0,3675.0,78100.0,3675.0,1.0,0.35,-0.01,0.78,0.03,0.89,0.16,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,3675.0,3685.0,3645.0,3665.0,33800.0,3665.0,1.0,0.79,0.01,0.92,0.05,0.96,0.18,3675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,3670.0,3705.0,3620.0,3695.0,86800.0,3695.0,1.0,0.74,0.01,0.9,0.05,0.95,0.18,3665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-02,3675.0,3700.0,3620.0,3700.0,70200.0,3700.0,1.0,0.94,0.02,0.96,0.05,0.98,0.18,3695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-06,3655.0,3900.0,3655.0,3850.0,142800.0,3850.0,1.0,0.97,0.02,0.97,0.05,0.99,0.18,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-07,3810.0,3810.0,3690.0,3710.0,93900.0,3710.0,1.0,0.86,0.05,0.93,0.08,0.96,0.23,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-08,3705.0,3705.0,3610.0,3625.0,96000.0,3625.0,1.0,0.44,0.0,0.72,0.04,0.84,0.18,3710.0,3710.0,3710.0,90.0,0.0,0.0,0.0,0.0,0.0
2017-11-09,3635.0,3680.0,3610.0,3640.0,88900.0,3640.0,1.0,0.13,-0.02,0.58,0.01,0.77,0.15,3625.0,3715.0,3535.0,64.0,0.0,0.0,0.0,0.0,0.0
2017-11-10,3600.0,3630.0,3590.0,3620.0,35800.0,3620.0,1.0,0.1,-0.02,0.6,0.01,0.78,0.16,3640.0,3704.0,3576.0,47.0,0.0,0.0,0.0,0.0,0.0
2017-11-13,3600.0,3610.0,3590.0,3605.0,22200.0,3605.0,1.0,0.1,-0.02,0.57,0.0,0.76,0.15,3620.0,3667.0,3573.0,30.0,0.0,0.0,0.0,0.0,0.0
2017-11-14,3595.0,3600.0,3540.0,3540.0,48800.0,3540.0,1.0,0.05,-0.02,0.51,-0.0,0.75,0.14,3605.0,3635.0,3575.0,60.0,0.0,11315.0,0.0,11315.0,11315.0
2017-11-15,3535.0,3570.0,3515.0,3545.0,47700.0,3545.0,1.0,0.0,-0.03,0.36,-0.02,0.7,0.12,3540.0,3600.0,3480.0,51.0,0.0,0.0,0.0,11315.0,11315.0
2017-11-16,3550.0,3705.0,3550.0,3675.0,70100.0,3675.0,1.0,0.1,-0.02,0.28,-0.02,0.7,0.12,3545.0,3596.0,3494.0,141.0,15016.0,0.0,15016.0,11315.0,26331.0
2017-11-17,3650.0,3685.0,3635.0,3670.0,40200.0,3670.0,1.0,0.84,0.02,0.52,0.01,0.81,0.16,3675.0,3816.0,3534.0,47.0,0.0,0.0,15016.0,11315.0,26331.0
2017-11-20,3695.0,3735.0,3680.0,3735.0,38100.0,3735.0,1.0,0.82,0.02,0.43,0.01,0.81,0.16,3670.0,3717.0,3623.0,60.0,6187.0,0.0,21203.0,11315.0,32518.0
2017-11-21,3740.0,3740.0,3690.0,3690.0,25100.0,3690.0,1.0,1.0,0.03,0.58,0.03,0.86,0.18,3735.0,3795.0,3675.0,47.0,0.0,0.0,21203.0,11315.0,32518.0
2017-11-22,3695.0,3695.0,3645.0,3645.0,23900.0,3645.0,1.0,0.78,0.01,0.45,0.01,0.82,0.16,3690.0,3737.0,3643.0,47.0,0.0,0.0,21203.0,11315.0,32518.0
2017-11-24,3650.0,3685.0,3635.0,3685.0,19500.0,3685.0,1.0,0.58,0.0,0.34,-0.0,0.78,0.14,3645.0,3692.0,3598.0,47.0,0.0,0.0,21203.0,11315.0,32518.0
2017-11-27,3685.0,3690.0,3630.0,3635.0,24900.0,3635.0,1.0,0.76,0.01,0.44,0.01,0.82,0.16,3685.0,3732.0,3638.0,56.0,0.0,825.0,21203.0,12140.0,33343.0
2017-11-28,3635.0,3695.0,3610.0,3690.0,33100.0,3690.0,1.0,0.45,-0.01,0.31,-0.0,0.77,0.14,3635.0,3691.0,3579.0,77.0,1083.0,0.0,22286.0,12140.0,34426.0
2017-11-29,3695.0,3820.0,3690.0,3790.0,68900.0,3790.0,1.0,0.62,0.0,0.45,0.01,0.82,0.15,3690.0,3767.0,3613.0,115.0,796.0,0.0,23082.0,12140.0,35222.0
2017-11-30,3770.0,3880.0,3765.0,3850.0,50400.0,3850.0,1.0,0.86,0.03,0.71,0.04,0.91,0.18,3790.0,3905.0,3675.0,102.0,0.0,0.0,23082.0,12140.0,35222.0
2017-12-01,3870.0,3885.0,3815.0,3815.0,42100.0,3815.0,1.0,0.89,0.04,0.87,0.05,0.96,0.2,3850.0,3952.0,3748.0,64.0,0.0,0.0,23082.0,12140.0,35222.0
