,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2018-02-19,3850.0,3890.0,3845.0,3880.0,24000.0,3880.0,1.0,0.43,0.01,0.21,-0.08,,6.3463173e-316,3.4581055e-316,3.45810824e-316,0.0,0.0,0.0,0.0,0.0
2018-02-20,3920.0,3920.0,3870.0,3895.0,27600.0,3895.0,1.0,0.84,0.02,0.29,-0.06,3880.0,-3.46691159437e-312,5e-324,3.46057175e-316,0.0,0.0,0.0,0.0,0.0
2018-02-21,3920.0,3945.0,3875.0,3915.0,27000.0,3915.0,1.0,0.91,0.03,0.31,-0.05,3895.0,6.991293644e-315,3.4615571e-316,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-22,3925.0,3925.0,3825.0,3870.0,28800.0,3870.0,1.0,0.9,0.03,0.33,-0.04,3915.0,5e-324,3.4615567e-316,-3.466911594455e-312,0.0,0.0,0.0,0.0,0.0
2018-02-23,3875.0,3930.0,3875.0,3930.0,22600.0,3930.0,1.0,0.75,0.01,0.29,-0.05,3870.0,6.25031026e-316,6.34724396e-316,3.4581059e-316,0.0,0.0,0.0,0.0,0.0
2018-02-26,3950.0,3955.0,3905.0,3915.0,30800.0,3915.0,1.0,0.94,0.02,0.41,-0.03,3930.0,6.25030986e-316,-3.466911594663e-312,5e-324,0.0,0.0,0.0,0.0,0.0
2018-02-27,3915.0,3920.0,3850.0,3855.0,44200.0,3855.0,1.0,0.81,0.01,0.39,-0.03,3915.0,0.0,3.46134146e-316,3.46077926e-316,0.0,0.0,0.0,0.0,0.0
2018-02-28,3845.0,3885.0,3835.0,3835.0,51700.0,3835.0,1.0,0.23,-0.01,0.3,-0.04,3855.0,-3.466911594317e-312,5e-324,3.46077886e-316,0.0,0.0,0.0,0.0,0.0
2018-03-01,3825.0,3825.0,3765.0,3770.0,39400.0,3770.0,1.0,0.08,-0.01,0.27,-0.04,3835.0,6.99129366e-315,3.4611081e-316,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-02,3745.0,3755.0,3700.0,3740.0,31100.0,3740.0,1.0,0.03,-0.03,0.18,-0.06,3770.0,5e-324,3.4611077e-316,-3.46691159438e-312,0.0,0.0,0.0,0.0,0.0
2018-03-05,3770.0,3815.0,3740.0,3755.0,34500.0,3755.0,1.0,0.16,-0.03,0.14,-0.06,3740.0,3740.0,3740.0,68.0,0.0,-10582.0,0.0,-10582.0,-10582.0
2018-03-06,3780.0,3825.0,3780.0,3815.0,24300.0,3815.0,1.0,0.22,-0.02,0.16,-0.05,3755.0,3823.0,3687.0,64.0,-2092.0,0.0,-2092.0,-10582.0,-12674.0
2018-03-07,3815.0,3860.0,3795.0,3820.0,22900.0,3820.0,1.0,0.45,0.0,0.24,-0.04,3815.0,3879.0,3751.0,60.0,0.0,0.0,-2092.0,-10582.0,-12674.0
