,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,rng200,avg200,rng365,avg365,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2010-07-02,1760.0,1780.0,1760.0,1770.0,87000.0,1770.0,0.1,0.0,-0.03,0.08,-0.03,0.16,-0.06,0.16,-0.07,,6.286447e-316,6.286447e-316,6.18387187e-316,0.0,0.0,0.0,0.0,0.0
2010-07-05,1780.0,1800.0,1780.0,1800.0,61000.0,1800.0,0.1,0.11,-0.02,0.09,-0.02,0.18,-0.06,0.18,-0.07,1770.0,6.2039412e-316,6.2039412e-316,6.2039412e-316,0.0,0.0,0.0,0.0,0.0
2010-07-06,1780.0,1800.0,1770.0,1800.0,108000.0,1800.0,0.1,0.44,-0.0,0.36,-0.01,0.24,-0.04,0.24,-0.05,1800.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010-07-07,1850.0,1850.0,1810.0,1830.0,174000.0,1830.0,0.1,0.5,0.0,0.36,-0.01,0.24,-0.04,0.24,-0.05,1800.0,4.267333535631e-311,4.271577527213e-311,,0.0,0.0,0.0,0.0,0.0
2010-07-08,1840.0,1840.0,1820.0,1820.0,98000.0,1820.0,0.1,0.78,0.02,0.64,0.01,0.31,-0.02,0.31,-0.03,1830.0,3.81959242423e-313,6.36598737295e-313,,0.0,0.0,0.0,0.0,0.0
2010-07-09,1840.0,1840.0,1820.0,1830.0,37000.0,1830.0,0.1,0.67,0.01,0.55,0.0,0.29,-0.03,0.29,-0.04,1820.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010-07-12,1830.0,1840.0,1820.0,1830.0,45000.0,1830.0,0.1,0.78,0.02,0.64,0.0,0.31,-0.02,0.31,-0.03,1830.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010-07-13,1830.0,1830.0,1810.0,1810.0,77000.0,1810.0,0.1,0.78,0.01,0.64,0.0,0.31,-0.02,0.31,-0.03,1830.0,2.1219958903e-313,2.1219967855e-314,,0.0,0.0,0.0,0.0,0.0
2010-07-14,1820.0,1830.0,1820.0,1830.0,46000.0,1830.0,0.1,0.5,-0.0,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,9.4e-323,1.53e-322,,0.0,0.0,0.0,0.0,0.0
2010-07-15,1820.0,1830.0,1810.0,1810.0,52000.0,1810.0,0.1,0.75,0.0,0.64,0.0,0.31,-0.02,0.31,-0.03,1830.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010-07-16,1810.0,1820.0,1800.0,1810.0,65000.0,1810.0,0.1,0.0,-0.01,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,,,18.0,0.0,0.0,0.0,0.0,0.0
2010-07-20,1800.0,1810.0,1790.0,1800.0,63000.0,1800.0,0.1,0.25,-0.01,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,0.0,-15384.0,0.0,-15384.0,-15384.0
2010-07-21,1820.0,1820.0,1790.0,1790.0,64000.0,1790.0,0.1,0.2,-0.01,0.36,-0.01,0.24,-0.04,0.24,-0.05,1800.0,1818.0,1782.0,26.0,0.0,0.0,0.0,-15384.0,-15384.0
2010-07-22,1790.0,1800.0,1780.0,1800.0,80000.0,1800.0,0.1,0.0,-0.01,0.27,-0.02,0.22,-0.04,0.22,-0.05,1790.0,1816.0,1764.0,18.0,0.0,0.0,0.0,-15384.0,-15384.0
2010-07-23,1810.0,1820.0,1800.0,1810.0,53000.0,1810.0,0.1,0.4,-0.0,0.36,-0.01,0.24,-0.04,0.24,-0.05,1800.0,1818.0,1782.0,18.0,1100.0,0.0,1100.0,-15384.0,-14284.0
2010-07-26,1820.0,1820.0,1800.0,1810.0,43000.0,1810.0,0.1,0.6,0.0,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,0.0,0.0,1100.0,-15384.0,-14284.0
2010-07-27,1800.0,1820.0,1800.0,1810.0,63000.0,1810.0,0.1,0.6,0.0,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,0.0,0.0,1100.0,-15384.0,-14284.0
2010-07-28,1820.0,1830.0,1810.0,1830.0,102000.0,1830.0,0.1,0.75,0.0,0.45,-0.01,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,1094.0,0.0,2194.0,-15384.0,-13190.0
2010-07-29,1830.0,1830.0,1810.0,1810.0,82000.0,1810.0,0.1,1.0,0.01,0.64,0.01,0.31,-0.02,0.31,-0.03,1830.0,1848.0,1812.0,18.0,0.0,1104.0,2194.0,-14280.0,-12086.0
2010-07-30,1810.0,1810.0,1790.0,1800.0,108000.0,1800.0,0.1,0.6,0.0,0.45,-0.0,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,0.0,-9944.0,2194.0,-24224.0,-22030.0
2010-08-02,1810.0,1810.0,1790.0,1790.0,68000.0,1790.0,0.1,0.4,-0.01,0.36,-0.01,0.24,-0.03,0.24,-0.04,1800.0,1818.0,1782.0,18.0,0.0,0.0,2194.0,-24224.0,-22030.0
2010-08-03,1800.0,1810.0,1790.0,1800.0,56000.0,1800.0,0.1,0.0,-0.01,0.27,-0.01,0.22,-0.04,0.22,-0.05,1790.0,1808.0,1772.0,18.0,-4424.0,0.0,-2230.0,-24224.0,-26454.0
2010-08-04,1800.0,1800.0,1790.0,1790.0,66000.0,1790.0,0.1,0.25,-0.0,0.4,-0.01,0.24,-0.03,0.24,-0.04,1800.0,1818.0,1782.0,9.0,0.0,0.0,-2230.0,-24224.0,-26454.0
2010-08-05,1800.0,1800.0,1790.0,1800.0,40000.0,1800.0,0.1,0.0,-0.01,0.33,-0.01,0.22,-0.04,0.22,-0.05,1790.0,1799.0,1781.0,9.0,0.0,0.0,-2230.0,-24224.0,-26454.0
2010-08-06,1800.0,1810.0,1790.0,1810.0,50000.0,1810.0,0.1,0.25,-0.0,0.44,-0.01,0.24,-0.03,0.24,-0.04,1800.0,1809.0,1791.0,18.0,-4975.0,-5000.0,-7205.0,-29224.0,-36429.0
2010-08-09,1800.0,1800.0,1790.0,1800.0,52000.0,1800.0,0.1,0.5,0.01,0.56,0.0,0.27,-0.03,0.27,-0.04,1810.0,1828.0,1792.0,18.0,0.0,-4444.0,-7205.0,-33668.0,-40873.0
2010-08-10,1800.0,1810.0,1790.0,1790.0,48000.0,1790.0,0.1,0.5,0.0,0.44,-0.0,0.24,-0.03,0.24,-0.04,1800.0,1818.0,1782.0,18.0,0.0,0.0,-7205.0,-33668.0,-40873.0
2010-08-11,1790.0,1800.0,1790.0,1790.0,47000.0,1790.0,0.1,0.0,-0.0,0.33,-0.01,0.22,-0.04,0.22,-0.05,1790.0,1808.0,1772.0,9.0,0.0,0.0,-7205.0,-33668.0,-40873.0
2010-08-12,1790.0,1790.0,1780.0,1780.0,131000.0,1780.0,0.1,0.0,-0.0,0.33,-0.01,0.22,-0.04,0.22,-0.05,1790.0,1799.0,1781.0,9.0,0.0,-5027.0,-7205.0,-38695.0,-45900.0
