,O,H,L,C,V,C2,SS,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2012-01-04,1800.0,1810.0,1790.0,1800.0,147000.0,1800.0,0.1,,6.3186e-316,6.25384184e-316,6.25384184e-316,0.0,0.0,0.0,0.0,0.0
2012-01-05,1810.0,1810.0,1790.0,1790.0,138000.0,1790.0,0.1,1800.0,6.26866065e-316,6.26866065e-316,6.26866065e-316,0.0,0.0,0.0,0.0,0.0
2012-01-06,1800.0,1800.0,1780.0,1780.0,120000.0,1780.0,0.1,1790.0,3820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-10,1790.0,1810.0,1790.0,1810.0,91000.0,1810.0,0.1,1780.0,3865.0,4.269455531422e-311,1.9097963113e-313,0.0,0.0,0.0,0.0,0.0
2012-01-11,1820.0,1820.0,1800.0,1800.0,77000.0,1800.0,0.1,1810.0,3875.0,1.06099789553e-313,8.4e-323,0.0,0.0,0.0,0.0,0.0
2012-01-12,1800.0,1810.0,1790.0,1790.0,139000.0,1790.0,0.1,1800.0,3905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-13,1790.0,1810.0,1790.0,1810.0,71000.0,1810.0,0.1,1790.0,3925.0,0.0,4.271577527213e-311,0.0,0.0,0.0,0.0,0.0
2012-01-16,1800.0,1820.0,1790.0,1820.0,147000.0,1820.0,0.1,1810.0,3900.0,2.121996785e-314,3.8195924242e-313,0.0,0.0,0.0,0.0,0.0
2012-01-17,1830.0,1830.0,1810.0,1820.0,111000.0,1820.0,0.1,1820.0,3885.0,3e-323,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-18,1820.0,1840.0,1820.0,1840.0,141000.0,1840.0,0.1,1820.0,3895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-19,1830.0,1840.0,1820.0,1820.0,154000.0,1820.0,0.1,1840.0,1840.0,1840.0,18.0,0.0,0.0,0.0,0.0,0.0
2012-01-20,1840.0,1850.0,1830.0,1850.0,275000.0,1850.0,0.1,1820.0,1838.0,1802.0,26.0,0.0,0.0,0.0,0.0,0.0
2012-01-23,1850.0,1860.0,1850.0,1850.0,227000.0,1850.0,0.1,1850.0,1876.0,1824.0,9.0,0.0,0.0,0.0,0.0,0.0
2012-01-24,1860.0,1860.0,1830.0,1840.0,247000.0,1840.0,0.1,1850.0,1859.0,1841.0,26.0,0.0,-4864.0,0.0,-4864.0,-4864.0
2012-01-25,1850.0,1860.0,1840.0,1860.0,185000.0,1860.0,0.1,1840.0,1866.0,1814.0,18.0,0.0,0.0,0.0,-4864.0,-4864.0
2012-01-26,1860.0,1860.0,1820.0,1840.0,248000.0,1840.0,0.1,1860.0,1878.0,1842.0,35.0,0.0,1086.0,0.0,-3778.0,-3778.0
2012-01-27,1840.0,1850.0,1830.0,1830.0,112000.0,1830.0,0.1,1840.0,1875.0,1805.0,18.0,0.0,0.0,0.0,-3778.0,-3778.0
2012-01-30,1850.0,1850.0,1830.0,1840.0,108000.0,1840.0,0.1,1830.0,1848.0,1812.0,18.0,0.0,0.0,0.0,-3778.0,-3778.0
2012-01-31,1850.0,1860.0,1840.0,1850.0,115000.0,1850.0,0.1,1840.0,1858.0,1822.0,18.0,11840.0,0.0,11840.0,-3778.0,8062.0
2012-02-01,1880.0,1890.0,1860.0,1870.0,195000.0,1870.0,0.1,1850.0,1868.0,1832.0,35.0,0.0,0.0,11840.0,-3778.0,8062.0
2012-02-02,1870.0,1900.0,1870.0,1900.0,349000.0,1900.0,0.1,1870.0,1905.0,1835.0,26.0,0.0,0.0,11840.0,-3778.0,8062.0
2012-02-03,1900.0,1900.0,1880.0,1880.0,198000.0,1880.0,0.1,1900.0,1926.0,1874.0,18.0,0.0,0.0,11840.0,-3778.0,8062.0
2012-02-06,1910.0,1910.0,1880.0,1900.0,306000.0,1900.0,0.1,1880.0,1898.0,1862.0,26.0,0.0,0.0,11840.0,-3778.0,8062.0
2012-02-07,1900.0,1900.0,1870.0,1870.0,205000.0,1870.0,0.1,1900.0,1926.0,1874.0,26.0,0.0,2139.0,11840.0,-1639.0,10201.0
2012-02-08,1870.0,1910.0,1870.0,1910.0,269000.0,1910.0,0.1,1870.0,1896.0,1844.0,35.0,7383.0,0.0,19223.0,-1639.0,17584.0
2012-02-09,1910.0,1910.0,1890.0,1900.0,171000.0,1900.0,0.1,1910.0,1945.0,1875.0,18.0,0.0,0.0,19223.0,-1639.0,17584.0
2012-02-10,1910.0,1930.0,1900.0,1910.0,386000.0,1910.0,0.1,1900.0,1918.0,1882.0,26.0,1042.0,0.0,20265.0,-1639.0,18626.0
2012-02-13,1920.0,1950.0,1920.0,1950.0,388000.0,1950.0,0.1,1910.0,1936.0,1884.0,35.0,2066.0,0.0,22331.0,-1639.0,20692.0
2012-02-14,1940.0,1950.0,1920.0,1940.0,340000.0,1940.0,0.1,1950.0,1985.0,1915.0,26.0,0.0,0.0,22331.0,-1639.0,20692.0
2012-02-15,1940.0,1970.0,1930.0,1940.0,826000.0,1940.0,0.1,1940.0,1966.0,1914.0,35.0,-8138.0,0.0,14193.0,-1639.0,12554.0
2012-02-16,1950.0,1990.0,1940.0,1970.0,713000.0,1970.0,0.1,1940.0,1975.0,1905.0,43.0,2531.0,0.0,16724.0,-1639.0,15085.0
