日付, 日225,米30, 米S500, 米NQ100, 金スポット, 白金スポット, 原油, コーン,^DJI, ^GSPC, ^IXIC,国債10,国債５,USD_E,EURJ,JPY,AUD,米30
2010/2/8,9950,9908.4,1056.74,2126.05,1063.8,1473.7,71.68,356,9908.39,1056.74,2126.05,3.59,2.26,1.3483,129.32,89.49,77.21,9908.39
2010/2/9,9935,10058.6,1070.52,2150.87,1077.5,1500.1,74.05,358.5,10058.64,1070.52,2150.87,3.63,2.31,1.3434,129.51,89.26,78.75,10058.64
2010/2/10,9990,10038.4,1068.13,2147.87,1095.5,1529.6,75.55,373.25,10038.38,1068.13,2147.87,3.69,2.37,1.339,130.81,89.68,78.72,10038.38
2010/2/12,10090,10099.1,1075.51,2183.53,1090,1511.1,74.5,373.25,10099.14,1075.51,2183.53,3.69,2.33,1.3368,131.52,89.75,79.88,10099.14
2010/2/15,10005,10099.1,1075.51,2183.53,1101.2,1517,74.33,373.25,10099.14,1075.51,2183.53,3.69,2.33,1.3368,132.93,89.75,79.88,10099.14
2010/2/16,10025,10268.8,1094.87,2214.19,1120.1,1538.1,77.57,379,10268.81,1094.87,2214.19,3.66,2.3,1.3384,134.31,90.01,81.3,10268.81
2010/2/17,10300,10309.2,1099.51,2226.29,1115.1,1532.5,77.8,371.75,10309.24,1099.51,2226.29,3.74,2.39,1.3181,132.68,90.13,82.02,10309.24
2010/2/18,10320,10392.9,1106.75,2241.71,1124.4,1533.8,79.56,369,10392.9,1106.75,2241.71,3.8,2.44,1.322,129.96,91.24,82.28,10392.9
2010/2/19,10140,10402.4,1109.17,2243.87,1122.1,1543.6,80.06,371.75,10402.35,1109.17,2243.87,3.78,2.46,1.3306,129.42,91.79,82.23,10402.35
2010/2/22,10375,10383.4,1108.01,2242.03,1113.9,1528.1,80.13,382.75,10383.38,1108.01,2242.03,3.8,2.45,1.262,129.94,91.46,82.03,10383.38
2010/2/23,10360,10282.4,1094.6,2213.44,1102.4,1514.3,78.73,378.75,10282.41,1094.6,2213.44,3.69,2.35,1.2737,130.37,91.13,80.36,10282.41
2010/2/24,10190,10374.2,1105.24,2235.9,1096.6,1505,80.18,386.25,10374.16,1105.24,2235.9,3.69,2.36,1.2782,129.83,90.21,80.51,10374.16
2010/2/25,10100,10321,1102.94,2234.22,1106.4,1531.9,78.3,383.25,10321.03,1102.94,2234.22,3.64,2.34,1.2666,130.26,90.15,79.07,10321.03
2010/2/26,10110,10325.3,1104.49,2238.26,1118.9,1541.6,79.66,389,10325.26,1104.49,2238.26,3.6,2.28,1.2612,130.53,89.04,79.55,10325.26
2010/3/1,10175,10403.8,1115.71,2273.57,1117.6,1546.5,78.76,381.75,10403.79,1115.71,2273.57,3.61,2.28,1.2521,128.96,88.86,80.27,10403.79
2010/3/2,10225,10406,1118.31,2280.79,1134.8,1573,79.72,381.5,10405.98,1118.31,2280.79,3.61,2.27,1.2364,129.67,89.12,80.19,10405.98
2010/3/3,10235,10396.8,1118.79,2280.68,1139.8,1579.5,80.94,386.75,10396.76,1118.79,2280.68,3.62,2.27,1.2394,130.22,88.84,80.07,10396.76
2010/3/4,10150,10444.1,1122.97,2292.31,1132,1581,80.43,383,10444.14,1122.97,2292.31,3.61,2.28,1.2212,130.86,88.47,80.24,10444.14
2010/3/5,10370,10566.2,1138.7,2326.35,1135.2,1578.8,81.5,375.5,10566.2,1138.7,2326.35,3.68,2.34,1.2403,131.32,89.01,81.94,10566.2
2010/3/8,10575,10552.5,1138.5,2332.21,1122.1,1599.9,81.76,375,10552.52,1138.5,2332.21,3.71,2.36,1.2488,131.53,90.44,82.04,10552.52
2010/3/9,10565,10564.4,1140.45,2340.68,1121,1592.4,81.44,369,10564.38,1140.45,2340.68,3.7,2.34,1.2568,131.75,90.3,82.22,10564.38
2010/3/10,10510,10567.3,1145.61,2358.95,1108.5,1596.5,82.25,365.5,10567.33,1145.61,2358.95,3.72,2.38,1.2357,132.01,89.96,82.76,10567.33
2010/3/11,10615,10611.8,1150.24,2368.46,1109.4,1611.7,82.6,365.25,10611.84,1150.24,2368.46,3.72,2.41,1.2337,132.5,90.51,82.85,10611.84
2010/3/12,10675,10624.7,1149.99,2367.66,1101.7,1610.5,81.54,364.25,10624.69,1149.99,2367.66,3.71,2.42,1.217,133.27,90.5,82.82,10624.69
2010/3/15,10670,10642.2,1150.51,2362.21,1105.4,1622.5,80.08,363.25,10642.15,1150.51,2362.21,3.7,2.4,1.2356,133.36,90.62,82.73,10642.15
2010/3/16,10670,10686,1159.46,2378.01,1122.5,1630.7,81.97,366.75,10685.98,1159.46,2378.01,3.65,2.35,1.2266,131.71,90.48,82.9,10685.98
2010/3/17,10780,10733.7,1166.21,2389.09,1124.2,1635.6,83.21,374,10733.67,1166.21,2389.09,3.64,2.37,1.2299,133.03,90.3,83.42,10733.67
2010/3/18,10685,10779.2,1165.83,2391.28,1127.5,1635.6,82.54,376,10779.17,1165.83,2391.28,3.67,2.41,1.2244,133.51,90.28,83.18,10779.17
2010/3/19,10755,10742,1159.9,2374.41,1099.5,1601,81.6,374.5,10741.98,1159.9,2374.41,3.69,2.45,1.2245,133.56,90.37,82.99,10741.98
2010/3/22,10755,10785.9,1165.81,2395.4,1102.1,1601,81.64,374.5,10785.89,1165.81,2395.4,3.66,2.41,1.2163,133.63,90.52,82.73,10785.89
2010/3/24,10745,10836.2,1167.72,2398.76,1085.9,1578.2,80.26,365,10836.15,1167.72,2398.76,3.83,2.57,1.1921,131.84,90.38,83.76,10836.15
2010/3/25,10770,10841.2,1165.73,2397.41,1090.8,1603.5,80.16,355,10841.21,1165.73,2397.41,3.9,2.66,1.1955,132.63,92.29,84.1,10841.21
2010/3/26,10935,10850.4,1166.59,2395.13,1104.3,1596,80,356.25,10850.36,1166.59,2395.13,3.86,2.6,1.1977,132.25,92.72,83.53,10850.36
2010/3/29,11015,10895.9,1173.22,2404.36,1108.6,1627.8,82.5,357,10895.86,1173.22,2404.36,3.86,2.6,1.213,130.52,92.44,84.78,10895.86
2010/3/30,11120,10907.4,1173.27,2410.69,1104,1618.1,82.55,354.5,10907.42,1173.27,2410.69,3.87,2.6,1.2108,130.24,92.46,85.26,10907.42
2010/3/31,11090,10856.6,1169.43,2397.96,1114.3,1638.5,83.38,345,10856.63,1169.43,2397.96,3.83,2.56,1.2226,128.67,92.75,85.75,10856.63
2010/4/1,11230,10927.1,1178.1,2402.58,1126.1,1669.8,84.87,344.5,10927.07,1178.1,2402.58,3.86,2.58,1.2323,127.36,93.45,86.37,10927.07
2010/4/2,11315,10927.1,1178.1,2402.58,1126.1,1669.8,84.87,344.5,10927.07,1178.1,2402.58,3.86,2.58,1.2323,127.03,93.45,86.37,10927.07
2010/4/5,11355,10973.6,1187.44,2429.53,1131.1,1703.8,86.83,345.75,10973.55,1187.44,2429.53,3.99,2.74,1.2307,127.72,94.65,86.94,10973.55
2010/4/6,11290,10970,1189.44,2436.81,1134.8,1698.5,86.77,346.5,10969.99,1189.44,2436.81,3.97,2.71,1.238,126.18,94.35,86.97,10969.99
2010/4/7,11295,10897.5,1182.45,2431.16,1153,1717.2,85.88,356.5,10897.52,1182.45,2431.16,3.86,2.61,1.2389,126.13,93.78,86.56,10897.52
2010/4/8,11165,10927.1,1186.44,2436.81,1151.7,1711.1,85.59,359.5,10927.07,1186.44,2436.81,3.9,2.64,1.232,125.59,93.34,86.65,10927.07
2010/4/9,11205,10997.4,1194.37,2454.05,1161.9,1722.2,84.92,357.25,10997.35,1194.37,2454.05,3.89,2.64,1.227,125.15,93.37,87.04,10997.35
