TOPIX先物1限月,前場・後場足,,,,,,
日付,始値,高値,安値,終値,出来高,売買代金,
2007年2月2日,後場,1745.5,1750.5,1740.5,1746,19528,34092278.5
2007年2月2日,前場,1744,1752,1743,1747.5,17217,30073836
2007年2月5日,後場,1722.5,1724.5,1712.5,1717.5,22220,38150638.5
2007年2月5日,前場,1740.5,1740.5,1718.5,1722,26302,45405104.5
2007年2月6日,後場,1728.5,1734.5,1722,1734,21551,37280880.5
2007年2月6日,前場,1725.5,1731,1722.5,1730.5,20352,35152622
2007年2月7日,後場,1723.5,1731.5,1723,1731.5,23433,40472518
2007年2月7日,前場,1729.5,1734.5,1723,1724.5,20379,35218013
2007年2月8日,後場,1726,1726.5,1712,1721,23978,41223121.5
2007年2月8日,前場,1737.5,1738,1726.5,1728.5,17596,30491355.5
2007年2月9日,後場,1737,1750,1735,1748,24907,43459487
2007年2月9日,前場,1726,1739.5,1718.5,1739,21356,36932731
2007年2月13日,後場,1750,1759.5,1747.5,1757,22903,40161369.5
2007年2月13日,前場,1743,1757,1741,1754,21791,38130111
2007年2月14日,後場,1766.5,1773.5,1765.5,1766,19586,34640415
2007年2月14日,前場,1759.5,1770,1759.5,1766.5,16694,29474772.5
2007年2月15日,後場,1773.5,1779,1772.5,1776.5,18119,32181009.5
2007年2月15日,前場,1780,1780.5,1768,1774,22476,39865910.5
2007年2月16日,後場,1769.5,1776.5,1767.5,1773,15920,28213133
2007年2月16日,前場,1773.5,1775.5,1764.5,1770.5,16817,29787930.5
2007年2月19日,後場,1776.5,1784,1776,1776.5,13295,23677559.5
2007年2月19日,前場,1768,1779.5,1766.5,1777,15199,26977834.5
2007年2月20日,後場,1770,1784.5,1769.5,1784.5,20542,36568224.5
2007年2月20日,前場,1778,1779,1766.5,1767.5,19275,34166913.5
2007年2月21日,後場,1788,1790.5,1780.5,1787.5,28272,50510038.5
2007年2月21日,前場,1780.5,1788.5,1779,1786.5,14761,26331659
2007年2月22日,後場,1804.5,1805.5,1798.5,1802.5,21428,38627659
2007年2月22日,前場,1804,1807,1801,1805.5,23212,41867456
2007年2月23日,後場,1808,1819.5,1805.5,1817,22357,40561788.5
2007年2月23日,前場,1807.5,1809.5,1799,1809.5,21278,38427636
2007年2月26日,後場,1821,1822,1811,1819,19175,34829707.5
2007年2月26日,前場,1821.5,1824.5,1818.5,1822.5,14774,26914630
2007年2月27日,後場,1815.5,1816,1804.5,1812,23339,42251443
2007年2月27日,前場,1820,1825.5,1813,1819,18353,33383798
2007年2月28日,後場,1743.5,1752.5,1743.5,1746.5,42229,73796135
2007年2月28日,前場,1728,1746,1716,1739,50671,87813420
2007年3月1日,後場,1735.5,1742.5,1725.5,1738.5,30470,52847500.5
2007年3月1日,前場,1746,1754.5,1736.5,1738,25640,44797849.5
2007年3月2日,後場,1723.5,1729.5,1715.5,1715.5,26642,45917859
2007年3月2日,前場,1733,1733.5,1715,1720.5,28524,49183006
2007年3月5日,後場,1681.5,1685.5,1656.5,1662,36842,61515111
2007年3月5日,前場,1685.5,1693,1678,1684.5,25072,42250961
2007年3月6日,後場,1687.5,1694,1685,1691,26518,44819790.5
2007年3月6日,前場,1661,1687.5,1661,1683,37233,62346562.5
2007年3月7日,後場,1698,1709,1685.5,1690,29123,49414554
2007年3月7日,前場,1713.5,1715,1691,1692,25167,42932496
2007年3月8日,後場,1692.5,1721,1692.5,1719,10694,18269381.5
2007年3月8日,前場,1685.5,1697,1684.5,1687.5,8545,14444556.5
2007年3月9日,後場,1719.5,1728.5,1718,1725,19398,33434425
2007年3月9日,前場,1728.5,1730,1719.5,1721,24710,42626639.5
2007年3月12日,後場,1737,1738.5,1724.5,1738.5,17456,30223759
2007年3月12日,前場,1740.5,1741.5,1732,1736.5,15816,27494087.5
2007年3月13日,後場,1727.5,1728.5,1716,1721.5,27380,47155922.5
2007年3月13日,前場,1735,1736.5,1725.5,1728,16510,28596219.5
2007年3月14日,後場,1668,1673,1662.5,1664.5,28992,48329519.5
2007年3月14日,前場,1681,1685,1668,1669.5,33556,56309842.5
2007年3月15日,後場,1689.5,1695,1684.5,1687,20849,35220581
2007年3月15日,前場,1678.5,1693,1673.5,1688.5,22009,37027983.5
2007年3月16日,後場,1670.5,1689.5,1666,1668,28183,47233906.5
2007年3月16日,前場,1682,1682,1663,1666.5,20545,34326341.5
2007年3月19日,後場,1678,1689.5,1676.5,1687.5,17675,29744596.5
2007年3月19日,前場,1659.5,1680.5,1659,1675.5,19046,31803285
2007年3月20日,後場,1705,1706.5,1698,1706,19782,33684163.5
2007年3月20日,前場,1704.5,1712,1702,1705.5,20142,34371705
2007年3月22日,後場,1730.5,1732,1721,1727.5,17950,30998410.5
2007年3月22日,前場,1730.5,1731.5,1724.5,1729,17273,29862419
2007年3月23日,後場,1733.5,1738.5,1729.5,1736,21300,36940052.5
2007年3月23日,前場,1734.5,1737,1726,1730,18929,32797407
2007年3月26日,後場,1727,1737.5,1727,1737.5,16992,29440329
2007年3月26日,前場,1740,1740.5,1723.5,1726.5,20020,34705130.5
2007年3月27日,後場,1738.5,1738.5,1717.5,1730,30327,52354184
2007年3月27日,前場,1729,1739.5,1726.5,1738,17218,29809969.5
2007年3月28日,後場,1725,1725.5,1702.5,1712,33550,57423726.5
2007年3月28日,前場,1726,1736.5,1723,1729,18135,31355457
2007年3月29日,後場,1702,1719.5,1702,1712,26875,46014845
2007年3月29日,前場,1695.5,1699.5,1688.5,1695,19170,32482791
2007年3月30日,後場,1718,1724.5,1713.5,1716.5,23294,40034381
2007年3月30日,前場,1720.5,1728.5,1715,1722,18156,31257439.5
2007年4月2日,後場,1718,1718,1681,1683,36660,62245424
2007年4月2日,前場,1723.5,1729,1713.5,1717,21481,36965462.5
2007年4月3日,後場,1698,1708.5,1693,1702.5,26849,45708308
2007年4月3日,前場,1698,1701.5,1691.5,1698,21428,36348955
2007年4月4日,後場,1729.5,1734.5,1726,1733,20727,35880890
2007年4月4日,前場,1725,1734.5,1720,1729.5,24669,42592215.5
2007年4月5日,後場,1720,1724.5,1716.5,1722.5,15040,25884446.5
2007年4月5日,前場,1728.5,1731,1719.5,1722,17422,30051774.5
