Date,High,Low,Open,Close,Volume,Adj Close
2007/01/03,2454.62,2394.66,2429.72,2423.16,2435280000,2423.16
2007/01/04,2460.51,2413.75,2423.82,2453.43,2104210000,2453.43
2007/01/05,2445.07,2420.59,2445.07,2434.25,2060360000,2434.25
2007/01/08,2445.63,2421.13,2435.25,2438.2,1905620000,2438.2
2007/01/09,2449.87,2423.56,2443.26,2443.83,2144160000,2443.83
2007/01/10,2461.34,2427.9,2434.04,2459.33,2274210000,2459.33
2007/01/11,2489.46,2463.39,2464.89,2484.85,2436270000,2484.85
2007/01/12,2502.82,2481.54,2481.72,2502.82,2175810000,2502.82
2007/01/16,2508.93,2493.92,2504.56,2497.78,2139550000,2497.78
2007/01/17,2496.93,2475.83,2487.89,2479.42,2273880000,2479.42
2007/01/18,2475.8,2438.11,2475.33,2443.21,2456180000,2443.21
2007/01/19,2453.79,2435.68,2437.63,2451.31,2037890000,2451.31
2007/01/22,2454.66,2422.92,2454.5,2431.07,1900860000,2431.07
2007/01/23,2447.03,2425.98,2428.26,2431.41,2001100000,2431.41
2007/01/24,2466.28,2440.82,2443.01,2466.28,2202040000,2466.28
2007/01/25,2470.51,2430.56,2469.27,2434.24,2202280000,2434.24
2007/01/26,2443.44,2418.61,2441.1,2435.49,2067080000,2435.49
2007/01/29,2451.83,2431.31,2434.64,2441.09,1915400000,2441.09
2007/01/30,2451.0,2437.42,2446.66,2448.64,1769600000,2448.64
2007/01/31,2471.2,2433.76,2443.33,2463.93,2186710000,2463.93
2007/02/01,2481.38,2458.71,2474.08,2468.38,2170040000,2468.38
2007/02/02,2478.41,2466.56,2474.19,2475.88,1876770000,2475.88
2007/02/05,2481.57,2466.18,2475.03,2470.6,1875310000,2470.6
2007/02/06,2478.24,2454.6,2475.78,2471.49,2113710000,2471.49
2007/02/07,2495.27,2475.57,2483.73,2490.5,2198410000,2490.5
2007/02/08,2492.41,2477.71,2484.5,2488.67,1995880000,2488.67
2007/02/09,2496.52,2453.44,2491.65,2459.82,2186590000,2459.82
2007/02/12,2460.63,2444.68,2460.63,2450.38,1840250000,2450.38
2007/02/13,2464.56,2452.17,2455.25,2459.88,1821390000,2459.88
2007/02/14,2494.51,2468.04,2468.04,2488.38,2173580000,2488.38
2007/02/15,2498.37,2485.51,2489.84,2497.1,1949670000,2497.1
2007/02/16,2497.92,2482.66,2491.48,2496.31,1887430000,2496.31
2007/02/20,2514.22,2479.92,2491.75,2513.04,2165590000,2513.04
2007/02/21,2518.42,2500.96,2503.54,2518.42,2012450000,2518.42
2007/02/22,2531.42,2509.06,2523.36,2524.94,1850960000,2524.94
2007/02/23,2522.84,2506.95,2522.53,2515.1,2012220000,2515.1
2007/02/26,2525.98,2492.54,2525.04,2504.52,1912480000,2504.52
2007/02/27,2470.92,2402.36,2468.74,2407.86,3037380000,2407.86
2007/02/28,2431.86,2395.35,2411.89,2416.15,2620450000,2416.15
2007/03/01,2419.15,2359.44,2377.18,2404.21,2710750000,2404.21
2007/03/02,2401.26,2368.0,2389.86,2368.0,2352790000,2368.0
2007/03/05,2377.84,2340.4,2368.0,2340.68,2291680000,2340.68
2007/03/06,2390.14,2361.27,2363.15,2385.14,2121430000,2385.14
2007/03/07,2388.78,2371.92,2382.65,2374.64,1959330000,2374.64
2007/03/08,2402.2,2382.0,2396.55,2387.73,1989910000,2387.73
2007/03/09,2404.8,2375.57,2403.13,2387.55,1875050000,2387.55
2007/03/12,2404.02,2384.39,2385.14,2402.29,1637980000,2402.29
2007/03/13,2395.98,2350.57,2388.86,2350.57,2235000000,2350.57
2007/03/14,2371.74,2331.57,2350.94,2371.74,2255630000,2371.74
2007/03/15,2382.62,2367.74,2371.02,2378.7,1690430000,2378.7
2007/03/16,2385.32,2364.36,2376.82,2372.66,2031650000,2372.66
2007/03/19,2399.8,2381.55,2384.66,2394.41,1650970000,2394.41
2007/03/20,2412.64,2393.19,2394.82,2408.21,1761940000,2408.21
2007/03/21,2455.92,2405.39,2415.54,2455.92,2158740000,2455.92
2007/03/22,2457.37,2442.51,2457.06,2451.74,1887290000,2451.74
2007/03/23,2459.96,2447.81,2451.83,2448.93,1634470000,2448.93
2007/03/26,2455.63,2428.0,2451.6,2455.63,1817870000,2455.63
2007/03/27,2450.03,2435.19,2448.92,2437.43,1708060000,2437.43
2007/03/28,2434.32,2413.09,2427.19,2417.1,1868310000,2417.1
2007/03/29,2433.04,2396.83,2432.5,2417.88,1926070000,2417.88
2007/03/30,2432.2,2403.01,2419.91,2421.64,1998550000,2421.64
2007/04/02,2427.94,2409.04,2425.36,2422.26,1784170000,2422.26
2007/04/03,2456.17,2432.3,2432.3,2450.33,1932030000,2450.33
2007/04/04,2461.49,2448.69,2451.94,2458.69,1933300000,2458.69
2007/04/05,2471.34,2455.6,2457.65,2471.34,1537800000,2471.34
2007/04/09,2478.68,2464.57,2478.02,2469.18,1714880000,2469.18
2007/04/10,2479.46,2468.03,2468.13,2477.61,1834530000,2477.61
2007/04/11,2478.51,2452.05,2477.76,2459.31,1957970000,2459.31
2007/04/12,2480.41,2448.71,2455.72,2480.32,1905500000,2480.32
2007/04/13,2491.94,2468.23,2479.69,2491.94,1834320000,2491.94
2007/04/16,2519.03,2500.55,2500.55,2518.33,1779410000,2518.33
2007/04/17,2522.07,2510.6,2519.12,2516.95,1900920000,2516.95
2007/04/18,2518.21,2499.65,2507.34,2510.5,2046760000,2510.5
2007/04/19,2515.95,2490.34,2497.22,2505.35,2112920000,2505.35
2007/04/20,2532.24,2515.24,2525.23,2526.39,2084270000,2526.39
2007/04/23,2531.4,2518.47,2525.77,2523.67,1928530000,2523.67
2007/04/24,2529.48,2509.26,2528.39,2524.54,2220610000,2524.54
2007/04/25,2551.39,2523.84,2533.54,2547.89,2644120000,2547.89
2007/04/26,2560.64,2544.12,2551.49,2554.46,2406090000,2554.46
2007/04/27,2562.99,2550.1,2554.48,2557.21,2078160000,2557.21
2007/04/30,2558.75,2525.09,2558.05,2525.09,2080710000,2525.09
2007/05/01,2532.37,2510.57,2529.95,2531.53,2351750000,2531.53
2007/05/02,2562.78,2531.96,2531.96,2557.84,2073150000,2557.84
2007/05/03,2569.8,2555.84,2560.85,2565.46,2137140000,2565.46
2007/05/04,2577.96,2561.73,2574.5,2572.15,2214130000,2572.15
2007/05/07,2580.06,2569.22,2572.64,2570.95,1652300000,2570.95
2007/05/08,2571.75,2551.15,2563.18,2571.75,1897750000,2571.75
2007/05/09,2579.98,2555.71,2557.63,2576.34,2104220000,2576.34
2007/05/10,2570.73,2533.12,2564.8,2533.74,2237610000,2533.74
2007/05/11,2562.45,2539.67,2541.66,2562.22,1725550000,2562.22
2007/05/14,2568.93,2537.92,2564.05,2546.44,1941450000,2546.44
2007/05/15,2557.78,2523.83,2544.67,2525.29,2187760000,2525.29
2007/05/16,2547.42,2519.35,2532.71,2547.42,2061050000,2547.42
2007/05/17,2547.71,2535.47,2544.32,2539.38,1924890000,2539.38
2007/05/18,2559.03,2540.67,2548.07,2558.45,1996930000,2558.45
2007/05/21,2587.87,2560.85,2560.93,2578.79,1974220000,2578.79
2007/05/22,2593.03,2573.95,2580.04,2588.02,1943950000,2588.02
2007/05/23,2600.94,2576.23,2592.62,2577.05,2011060000,2577.05
