now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/26 22:12:26,1301_2013L_PL,318,54.72,1.15,722,47,59.57,1.01,25,0.089,-0.122
2018/07/26 22:12:27,1301_2013S_PL,279,45.52,0.98,-92,52,51.92,1.17,512,0.141,0.194
2018/07/26 22:12:28,1301_2014L_PL,328,55.79,1.08,316,51,41.18,0.76,-696,-0.262,-0.296
2018/07/26 22:12:29,1301_2014S_PL,293,46.08,0.83,-816,42,50.0,0.9,-386,0.085,0.084
2018/07/26 22:12:30,1301_2015L_PL,330,53.33,1.01,32,57,57.89,1.79,1260,0.086,0.772
2018/07/26 22:12:30,1301_2015S_PL,287,46.34,0.88,-557,46,50.0,1.0,-3,0.079,0.136
2018/07/26 22:12:32,1301_2016L_PL,333,54.95,1.12,446,51,76.47,3.59,4120,0.392,2.205
2018/07/26 22:12:32,1301_2016S_PL,289,46.71,0.94,-273,32,37.5,0.55,-1889,-0.197,-0.415
2018/07/26 22:12:33,1301_2017L_PL,333,57.96,1.37,1192,21,33.33,0.69,-1006,-0.425,-0.496
2018/07/26 22:12:33,1301_2017S_PL,281,44.13,0.8,-869,25,60.0,0.72,-1385,0.36,-0.1
2018/07/26 22:12:35,1305_2013L_PL,233,57.94,1.28,1294,38,55.26,1.18,457,-0.046,-0.078
2018/07/26 22:12:35,1305_2013S_PL,239,46.44,0.9,-649,33,48.48,1.19,646,0.044,0.322
2018/07/26 22:12:37,1305_2014L_PL,237,59.49,1.43,1598,41,58.54,1.24,851,-0.016,-0.133
2018/07/26 22:12:38,1305_2014S_PL,231,45.45,0.76,-1478,33,39.39,1.79,3017,-0.133,1.355
2018/07/26 22:12:40,1305_2015L_PL,241,61.0,1.47,1534,36,50.0,1.43,1842,-0.18,-0.027
2018/07/26 22:12:40,1305_2015S_PL,223,47.09,0.94,-339,37,45.95,0.77,-2043,-0.024,-0.181
2018/07/26 22:12:42,1305_2016L_PL,242,59.09,1.42,1483,28,67.86,1.74,1569,0.148,0.225
