now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/25 22:57:47,1301_2013L_PL,258,54.26,0.97,-116,11,72.73,1.13,486,0.34,0.165
2018/07/25 22:57:48,1301_2013S_PL,213,43.66,0.79,-1074,7,42.86,0.89,-217,-0.018,0.127
2018/07/25 22:57:50,1301_2014L_PL,248,56.85,1.09,403,6,16.67,0.22,-3211,-0.707,-0.798
2018/07/25 22:57:51,1301_2014S_PL,218,45.87,0.92,-344,6,16.67,0.01,-8638,-0.637,-0.989
2018/07/25 22:57:53,1301_2015L_PL,250,54.0,1.06,232,6,50.0,1.73,1091,-0.074,0.632
2018/07/25 22:57:54,1301_2015S_PL,222,45.5,0.76,-1106,6,50.0,0.28,-2708,0.099,-0.632
2018/07/25 22:57:57,1301_2016L_PL,250,54.8,1.31,1009,10,80.0,3.61,3893,0.46,1.756
2018/07/25 22:57:58,1301_2016S_PL,222,44.14,0.84,-743,2,100.0,-1,6070,1.266,-2.19
2018/07/25 22:58:00,1301_2017L_PL,239,59.0,1.48,1224,15,33.33,0.27,-1772,-0.435,-0.818
2018/07/25 22:58:02,1301_2017S_PL,206,45.63,0.97,-117,19,57.89,0.6,-1999,0.269,-0.381
2018/07/25 22:58:04,1305_2013L_PL,175,61.71,1.57,1918,5,60.0,0.76,-849,-0.028,-0.516
2018/07/25 22:58:05,1305_2013S_PL,180,45.56,0.73,-1705,5,40.0,0.91,-399,-0.122,0.247
2018/07/25 22:58:08,1305_2014L_PL,178,61.8,1.62,1937,6,66.67,0.65,-2916,0.079,-0.599
2018/07/25 22:58:09,1305_2014S_PL,168,48.81,0.8,-1162,4,50.0,0.91,-124,0.024,0.137
2018/07/25 22:58:11,1305_2015L_PL,187,58.82,1.35,1237,3,66.67,1.74,1081,0.133,0.289
2018/07/25 22:58:13,1305_2015S_PL,162,45.68,0.85,-859,3,66.67,0.34,-1990,0.46,-0.6
2018/07/25 22:58:15,1305_2016L_PL,182,59.34,1.5,1783,2,50.0,0.28,-7310,-0.157,-0.813
2018/07/25 22:58:16,1305_2016S_PL,168,45.83,0.84,-1015,5,40.0,0.87,-286,-0.127,0.036
2018/07/25 22:58:19,1305_2017L_PL,168,57.74,1.45,1424,9,44.44,0.78,-727,-0.23,-0.462
2018/07/25 22:58:20,1305_2017S_PL,158,44.94,0.97,-135,17,52.94,1.53,1584,0.178,0.577
2018/07/25 22:58:23,1306_2013L_PL,172,57.56,1.38,1332,5,40.0,0.4,-2641,-0.305,-0.71
2018/07/25 22:58:24,1306_2013S_PL,184,44.57,0.72,-1677,4,50.0,0.16,-4652,0.122,-0.778
2018/07/25 22:58:27,1306_2014L_PL,175,58.29,1.52,1630,7,71.43,0.67,-2375,0.225,-0.559
2018/07/25 22:58:28,1306_2014S_PL,162,47.53,0.74,-1481,5,20.0,0.72,-238,-0.579,-0.027
2018/07/25 22:58:31,1306_2015L_PL,184,57.61,1.38,1293,7,42.86,0.57,-1510,-0.256,-0.587
2018/07/25 22:58:34,1306_2016L_PL,186,56.45,1.26,990,4,75.0,0.42,-3284,0.329,-0.667
2018/07/25 22:58:36,1306_2016S_PL,165,44.85,0.87,-821,5,40.0,0.68,-829,-0.108,-0.218
2018/07/25 22:58:38,1306_2017L_PL,178,52.81,1.1,379,13,53.85,1.05,138,0.02,-0.045
2018/07/25 22:58:40,1306_2017S_PL,158,43.67,1.02,74,20,50.0,1.66,1555,0.145,0.627
2018/07/25 22:58:42,1308_2013L_PL,181,62.98,1.79,2453,6,50.0,0.37,-3687,-0.206,-0.793
2018/07/25 22:58:43,1308_2013S_PL,185,44.86,0.84,-876,3,33.33,0.11,-6045,-0.257,-0.869
2018/07/25 22:58:46,1308_2014L_PL,175,63.43,1.86,2523,7,71.43,0.77,-1664,0.126,-0.586
2018/07/25 22:58:47,1308_2014S_PL,170,46.47,0.87,-685,4,50.0,1.23,177,0.076,0.414
2018/07/25 22:58:50,1308_2015L_PL,186,62.37,1.6,1973,8,50.0,0.97,-72,-0.198,-0.394
2018/07/25 22:58:51,1308_2015S_PL,169,45.56,0.9,-529,3,66.67,1.73,2099,0.463,0.922
2018/07/25 22:58:53,1308_2016L_PL,184,61.41,1.59,2053,4,25.0,0.22,-4679,-0.593,-0.862
2018/07/25 22:58:54,1308_2016S_PL,169,46.75,0.92,-473,7,57.14,3.04,2835,0.222,2.304
2018/07/25 22:58:57,1308_2017L_PL,175,57.14,1.42,1331,12,58.33,1.47,1110,0.021,0.035
2018/07/25 22:58:58,1308_2017S_PL,168,47.62,1.09,388,16,56.25,1.73,1711,0.181,0.587
2018/07/25 22:59:01,1309_2013L_PL,162,59.26,1.61,3016,8,75.0,21.33,14485,0.266,12.248
2018/07/25 22:59:02,1309_2013S_PL,206,59.22,1.48,2436,7,42.86,1.38,4541,-0.276,-0.068
2018/07/25 22:59:04,1309_2014L_PL,184,54.89,1.55,2649,4,25.0,0.05,-9296,-0.545,-0.968
2018/07/25 22:59:06,1309_2014S_PL,202,56.44,1.25,1328,7,57.14,1.91,5873,0.012,0.528
2018/07/25 22:59:08,1309_2015L_PL,191,52.36,1.42,2340,8,75.0,3.29,4944,0.432,1.317
2018/07/25 22:59:09,1309_2015S_PL,203,57.14,1.6,3446,2,100.0,-1,4373,0.75,-1.625
2018/07/25 22:59:12,1309_2016L_PL,197,54.82,1.58,2971,4,25.0,0.69,-1976,-0.544,-0.563
2018/07/25 22:59:13,1309_2016S_PL,194,53.61,1.65,3671,3,66.67,0.32,-7205,0.244,-0.806
2018/07/25 22:59:16,1309_2017L_PL,178,53.93,1.54,2400,11,63.64,0.79,-747,0.18,-0.487
2018/07/25 22:59:17,1309_2017S_PL,177,50.28,1.57,3098,16,50.0,0.82,-1002,-0.006,-0.478
2018/07/25 22:59:54,1320_2013L_PL,183,61.2,1.52,1858,7,57.14,0.25,-3953,-0.066,-0.836
2018/07/25 22:59:55,1320_2013S_PL,161,50.93,1.21,1031,6,66.67,1.18,594,0.309,-0.025
2018/07/25 22:59:58,1320_2014L_PL,179,59.78,1.53,1830,6,50.0,0.57,-3925,-0.164,-0.627
2018/07/25 22:59:59,1320_2014S_PL,153,50.98,1.12,539,4,50.0,2.14,2898,-0.019,0.911
2018/07/25 23:00:01,1320_2015L_PL,177,58.76,1.41,1423,6,66.67,2.41,2170,0.135,0.709
2018/07/25 23:00:05,1320_2016L_PL,178,56.74,1.24,969,6,66.67,0.63,-2476,0.175,-0.492
2018/07/25 23:00:07,1320_2016S_PL,165,47.88,1.14,665,9,66.67,2.15,1512,0.392,0.886
2018/07/25 23:00:09,1320_2017L_PL,175,54.86,1.21,788,13,69.23,1.95,1683,0.262,0.612
2018/07/25 23:00:11,1320_2017S_PL,169,45.56,1.04,171,16,56.25,1.53,1444,0.235,0.471
2018/07/25 23:00:13,1321_2013L_PL,171,60.23,1.43,1596,7,57.14,0.37,-2689,-0.051,-0.741
2018/07/25 23:00:15,1321_2013S_PL,169,48.52,1.28,1250,6,66.67,1.31,947,0.374,0.023
2018/07/25 23:00:17,1321_2014L_PL,164,62.2,1.48,1789,8,50.0,0.08,-9088,-0.196,-0.946
2018/07/25 23:00:19,1321_2014S_PL,162,50.62,1.22,902,4,25.0,0.96,-155,-0.506,-0.213
2018/07/25 23:00:22,1321_2015L_PL,174,59.2,1.27,1063,6,66.67,1.97,1694,0.126,0.551
2018/07/25 23:00:25,1321_2016L_PL,179,57.54,1.09,408,8,50.0,0.69,-1718,-0.131,-0.367
2018/07/25 23:00:27,1321_2016S_PL,172,49.42,1.23,1060,9,66.67,1.87,1217,0.349,0.52
2018/07/25 23:00:30,1321_2017L_PL,179,56.42,1.06,259,17,64.71,2.2,2068,0.147,1.075
2018/07/25 23:00:31,1321_2017S_PL,173,45.09,1.01,63,15,53.33,1.29,850,0.183,0.277
2018/07/25 23:01:02,1326_2013L_PL,106,59.43,1.72,2113,3,66.67,215.7,5081,0.122,124.407
2018/07/25 23:01:03,1326_2013S_PL,99,50.51,1.11,539,2,50.0,0.23,-5198,-0.01,-0.793
2018/07/25 23:01:07,1326_2014S_PL,118,47.46,0.92,-366,6,50.0,1.08,149,0.054,0.174
2018/07/25 23:01:10,1326_2015L_PL,120,53.33,1.32,918,5,60.0,1.4,731,0.125,0.061
2018/07/25 23:01:11,1326_2015S_PL,133,49.62,1.13,476,6,33.33,0.59,-929,-0.328,-0.478
2018/07/25 23:01:13,1326_2016L_PL,132,54.55,1.18,503,1,100.0,-1,0,0.833,-1.847
2018/07/25 23:01:17,1326_2017L_PL,126,52.38,1.19,421,12,33.33,0.21,-2957,-0.364,-0.824
2018/07/25 23:01:18,1326_2017S_PL,140,45.0,0.94,-177,21,42.86,0.33,-2892,-0.048,-0.649
2018/07/25 23:01:35,1329_2013L_PL,161,61.49,1.61,2120,5,60.0,0.37,-2743,-0.024,-0.77
2018/07/25 23:01:36,1329_2013S_PL,144,47.92,1.06,294,6,66.67,1.74,2017,0.391,0.642
2018/07/25 23:01:38,1329_2014L_PL,164,62.8,1.64,2127,5,60.0,0.21,-8069,-0.045,-0.872
2018/07/25 23:01:41,1329_2015L_PL,166,62.05,1.45,1544,6,66.67,2.6,2917,0.074,0.793
2018/07/25 23:01:42,1329_2015S_PL,147,44.9,1.03,163,3,33.33,1.56,2085,-0.258,0.515
2018/07/25 23:01:44,1329_2016L_PL,173,61.85,1.41,1495,8,62.5,0.72,-1708,0.011,-0.489
2018/07/25 23:01:45,1329_2016S_PL,160,45.62,0.99,-53,8,75.0,3.1,2266,0.644,2.131
2018/07/25 23:01:47,1329_2017L_PL,172,61.63,1.45,1471,12,50.0,0.64,-1371,-0.189,-0.559
2018/07/25 23:01:48,1329_2017S_PL,166,46.39,1.08,422,15,53.33,1.31,1007,0.15,0.213
2018/07/25 23:01:50,1330_2013L_PL,164,64.02,1.8,2580,6,66.67,0.67,-1126,0.041,-0.628
2018/07/25 23:01:51,1330_2013S_PL,168,50.6,1.08,401,6,66.67,1.34,1182,0.318,0.241
