"日付","タイトル","コード","銘柄名","type","損切り幅","信用","日数","玉","仕掛け値","終了日付","値","損益","合計","損益REAL","合計REAL","rank","仕切り期限日","追加建玉","AVG５乖離","更新時間","価格temp","追加建玉1","追加建玉2","memo","保有日時","貸借区分","逆日歩","信用倍率","配当利回り","HighLow30","HighLow90","乖離avg30","乖離avg90","変動率90","前日","now","前日始値","当日終値","前日終値","当日始値","当日","更新日"
"2017/09/01 11:10:26","もうすぐストップ高買","6172","(株)メタップス","買","3825","制度","0","200","3820","2017/09/13","3120","-140000","-140000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/05 11:10:18","もうすぐストップ高買","9764","技研興業(株)","買","310","制度","0","3000","319","2017/09/13","483","-93000","-233000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/08 11:10:20","もうすぐストップ高買","9764","技研興業(株)","買","515","制度","0","3000","514","2017/09/13","483","-93000","-326000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/11 16:20:22","もうすぐストップ高買","4080","(株)田中化学研究所","買","2034","制度","0","400","2136","2017/09/13","2400","105600","-220400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/13 11:10:24","もうすぐストップ高買","3566","ユニフォームネクスト(株)","買","4840","制度","0","100","5120","2017/09/14","5100","-2000","-222400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/15 11:10:10","もうすぐストップ高買","5218","(株)オハラ","買","1955","制度","0","400","2055","2017/09/19","2079","1600","-220800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/15 11:10:22","もうすぐストップ高買","6937","古河電池(株)","買","1080","制度","0","1000","1147","2017/09/19","1127","17000","-203800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/26 11:10:10","もうすぐストップ高買","2693","ＹＫＴ(株)","買","306","制度","0","2700","321","2017/09/28","481","216000","12200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/27 11:10:10","もうすぐストップ高買","2693","ＹＫＴ(株)","買","386","制度","0","2700","401","2017/09/28","481","216000","228200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/09/27 11:10:23","もうすぐストップ高買","7746","岡本硝子(株)","買","266","制度","0","2300","296","2017/09/28","300","110400","338600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/10/02 11:10:09","もうすぐストップ高買","6188","富士ソフトサービスビューロ(株)","買","1670","制度","0","400","1680","2017/10/03","1549","-38000","300600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/10/03 11:10:19","もうすぐストップ高買","6158","(株)和井田製作所","買","770","制度","0","900","797","2017/10/04","731","-1800","298800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/10/30 11:10:35","もうすぐストップ高買","6325","(株)タカキタ","買","732","制度","0","800","774","2017/11/01","786","20800","319600",,,"0","","0","0","","","","",,,,,,,,,,,,,,,,,,,
"2017/10/30 11:10:52","もうすぐストップ高買","2136","(株)ヒップ","買","1350","制度","0","500","1414","2017/11/01","1299","-31500","288100",,,"0","","0","0","","","","",,,,,,,,,,,,,,,,,,,
"2017/10/30 11:10:58","もうすぐストップ高買","6911","新日本無線(株)","買","924","制度","0","600","986","2017/11/01","937","5400","293500",,,"0","","0","0","","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 07:56:56","東1昇格銘柄予測","2573","北海道コカ・コーラボトリング","買","-0.02","制度","42","1000","742","2017/11/30","750","8000","301500",,,"0","2017/12/17","0","0","2017/11/30 11:45:03","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 07:57:05","東1昇格銘柄予測","2752","フジオフードシステム","買","1830","制度","29","300","1830","2017/12/18","2250","126000","427500",,,"0","2017/12/17","0","0","2017/12/18 11:45:03","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 07:57:12","東1昇格銘柄予測","2830","アヲハタ","買","0.07","制度","50","200","2629","2017/11/17","2698","13800","441300",,,"0","2017/11/17","0","0","2017/11/17 11:45:07","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 07:58:35","東1昇格銘柄予測","8929","（株）青山財産ネットワークス","買","1391","制度","29","300","1391","2017/12/18","1790","119700","561000",,,"0","2017/12/17","0","0","2017/12/18 11:45:04","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:01:09","もうすぐストップ高買","5631","(株)日本製鋼所","買","3310","制度","0","200","3380","2017/11/07","3240","-28000","533000",,,"0","","0","0","2017/11/07 19:59:44","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:01:15","もうすぐストップ高買","4674","(株)クレスコ","買","5140","制度","0","200","5270","2017/11/07","4920","-70000","463000",,,"0","","0","0","2017/11/07 19:59:44","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:01:31","もうすぐストップ高買","6877","ＯＢＡＲＡ　ＧＲＯＵＰ(株)","買","7260","制度","0","100","7390","2017/11/07","6910","-48000","415000",,,"0","","0","0","2017/11/07 19:59:45","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:01:36","もうすぐストップ高買","6480","日本トムソン(株)","買","685","制度","0","900","715","2017/11/07","625","-81000","334000",,,"0","","0","0","2017/11/07 19:59:45","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:01:46","もうすぐストップ高買","3802","(株)エコミック","買","989","現物","0","600","1061","2017/11/07","911","-90000","244000",,,"0","","0","0","2017/11/07 19:59:45","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:06:16","もうすぐストップ高買","3956","国際チャート(株)","買","321","制度","0","1900","355","2017/11/07","278","-146300","97700",,,"0","","0","0","2017/11/07 19:59:46","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:22:43","もうすぐストップ高買","4316","(株)ビーマップ","買","2073","制度","0","300","2180","2017/11/07","1749","-129300","-31600",,,"0","","0","0","2017/11/07 19:59:46","","","",,,,,,,,,,,,,,,,,,,
"2017/11/07 10:51:11","もうすぐストップ高買","6240","ヤマシンフィルタ(株)","買","4705","制度","0","200","4840","2017/11/07","4350","-98000","-129600",,,"0","","0","0","2017/11/07 19:59:46","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:56:56","東1昇格銘柄予測","2752","フジオフードシステム","買","1875","制度","31","300","1875","2017/12/18","2250","112500","-17100",,,"0","2017/12/17","0","0","2017/12/18 11:45:04","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:57:04","東1昇格銘柄予測","2830","アヲハタ","買","0.07","制度","52","200","2702","2017/11/17","2698","-800","-17900",,,"0","2017/11/17","0","0","2017/11/17 11:45:08","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:57:11","東1昇格銘柄予測","3040","（株）ソリトンシステムズ","買","1420","制度","31","300","1420","2017/12/18","1639","65700","47800",,,"0","2017/12/17","0","0","2017/12/18 11:45:04","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:57:31","東1昇格銘柄予測","2752","フジオフードシステム","買","1875","制度","31","300","1875","2017/12/18","2250","112500","160300",,,"0","2017/12/17","0","0","2017/12/18 11:45:05","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:57:38","東1昇格銘柄予測","2830","アヲハタ","買","0.07","制度","52","200","2702","2017/11/17","2698","-800","159500",,,"0","2017/11/17","0","0","2017/11/17 11:45:08","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 07:57:45","東1昇格銘柄予測","3040","（株）ソリトンシステムズ","買","1420","制度","31","300","1420","2017/12/18","1639","65700","225200",,,"0","2017/12/17","0","0","2017/12/18 11:45:05","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 10:01:10","もうすぐストップ高買","1848","(株)富士ピー・エス","買","732","制度","0","800","748","2017/11/13","727","-16800","208400",,,"0","","0","0","2017/11/13 11:45:05","","","",,,,,,,,,,,,,,,,,,,
"2017/11/09 10:01:31","もうすぐストップ高買","6079","(株)エナリス","買","617","制度","0","1000","650","2017/11/13","616","-34000","174400",,,"0","","0","0","2017/11/13 11:45:07","","","",,,,,,,,,,,,,,,,,,,
"2017/11/10 00:55:09","東1昇格銘柄予測","6874","協立電機","買","2602","制度","34","200","2602","2017/12/18","2720","23600","198000",,,,"2017/12/17",,,"2017/12/18 11:45:06",,,,,,,,,,,,,,,,,,,,,,
"2017/11/10 00:55:22","東1昇格銘柄予測","7716","ナカニシ","買","0.01","制度","53","100","5430","2017/11/21","5350","-8000","190000",,,,"2017/12/17",,,"2017/11/21 11:45:05",,,,,,,,,,,,,,,,,,,,,,
"2017/11/10 08:17:19","寄り指値売","2359","コア","売","0","制度","0","100","1634","2017/11/10 18:24:54","1630","400","190400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/11/10 08:17:26","寄り指値売","2760","東京エレクトロン　デバイス","売","0","制度","0","100","2055","2017/11/10 18:24:54","2075","-2000","188400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017/11/10 08:17:35","寄り指値売","4228","積水化成品工業","売","0","制度","0","100","1420","2017/11/10 18:24:54","1423","-300","188100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
