日,経225先物1限月 日,中,前場・後場足,,,,
日,付,始値,高値,安値,終値,出来高,売買代金
2007年2月2日,前場,17580,17650,17580,17630,44434,782346630
2007年2月2日,後場,17600,17640,17540,17590,52705,927037450
2007年2月5日,前場,17530,17540,17360,17400,66126,1152512740
2007年2月5日,後場,17410,17430,17300,17350,51680,896727270
2007年2月6日,前場,17410,17450,17380,17420,34241,596275440
2007年2月6日,後場,17400,17440,17350,17430,42200,734322750
2007年2月7日,前場,17360,17380,17230,17240,55877,966911340
2007年2月7日,後場,17230,17310,17190,17290,55319,954050520
2007年2月8日,前場,17390,17410,17330,17350,43626,757738660
2007年2月8日,後場,17330,17340,17220,17280,60545,1046187660
2007年2月9日,前場,17330,17410,17290,17400,47388,822226040
2007年2月9日,後場,17390,17550,17380,17510,69256,1211719770
2007年2月13日,前場,17460,17640,17450,17620,51205,898703290
2007年2月13日,後場,17570,17630,17540,17600,55728,980002700
2007年2月14日,前場,17650,17770,17650,17730,53446,947173680
2007年2月14日,後場,17740,17800,17730,17780,47769,848900950
2007年2月15日,前場,17930,17940,17820,17860,51600,922219500
2007年2月15日,後場,17860,17920,17850,17890,50778,908201930
2007年2月16日,前場,17820,17890,17790,17840,41547,741237040
2007年2月16日,後場,17840,17900,17820,17870,32839,586428710
2007年2月19日,前場,17830,17940,17810,17910,37163,665019390
2007年2月19日,後場,17910,17980,17910,17920,37023,664388050
2007年2月20日,前場,17920,17930,17820,17840,40053,715832330
2007年2月20日,後場,17850,17960,17840,17960,42454,760795230
2007年2月21日,前場,17890,17970,17880,17940,33157,594626200
2007年2月21日,後場,17940,17970,17850,17930,70454,1262024900
2007年2月22日,前場,18050,18120,18030,18120,50050,904805540
2007年2月22日,後場,18100,18140,18060,18090,46093,834321400
2007年2月23日,前場,18110,18150,18050,18130,44535,806663210
2007年2月23日,後場,18130,18240,18100,18220,59344,1079440880
2007年2月26日,前場,18260,18310,18250,18270,35965,657368820
2007年2月26日,後場,18270,18280,18150,18230,57490,1046713420
2007年2月27日,前場,18250,18280,18170,18220,45273,825214970
2007年2月27日,後場,18180,18190,18070,18110,60609,1098658830
2007年2月28日,前場,17440,17570,17340,17480,122595,2141058140
2007年2月28日,後場,17500,17590,17490,17540,79399,1392642700
2007年3月1日,前場,17480,17560,17380,17410,60419,1056068530
2007年3月1日,後場,17390,17440,17260,17390,86989,1509758650
2007年3月2日,前場,17370,17370,17160,17220,82829,1429892220
2007年3月2日,後場,17280,17350,17160,17160,68397,1180072120
2007年3月5日,前場,16840,16940,16780,16860,71809,1210572320
2007年3月5日,後場,16830,16850,16520,16630,106218,1772888730
2007年3月6日,前場,16660,16830,16640,16780,82898,1386271160
2007年3月6日,後場,16840,16880,16780,16820,70353,1184508330
2007年3月7日,前場,16990,17000,16750,16750,63929,1080604940
2007年3月7日,後場,16800,16920,16720,16760,74573,1253599110
2007年3月8日,前場,16700,16800,16670,16740,36898,617523570
2007年3月8日,後場,16770,17090,16760,17070,54454,923163300
2007年3月9日,前場,17070,17200,17070,17090,65273,1118178580
2007年3月9日,後場,17060,17180,17040,17110,62783,1074090330
2007年3月12日,前場,17270,17280,17190,17220,38352,661260930
2007年3月12日,後場,17240,17280,17140,17280,43193,743380660
2007年3月13日,前場,17220,17250,17140,17180,39007,670796210
2007年3月13日,後場,17190,17210,17090,17130,59172,1014675160
2007年3月14日,前場,16720,16780,16610,16630,71578,1195497320
2007年3月14日,後場,16600,16680,16550,16550,70538,1171345020
2007年3月15日,前場,16740,16870,16700,16830,56842,953657640
2007年3月15日,後場,16840,16880,16780,16800,49701,836180210
2007年3月16日,前場,16720,16750,16580,16640,56194,936379510
2007年3月16日,後場,16690,16870,16660,16700,85424,1431090200
2007年3月19日,前場,16640,16880,16630,16810,58580,982113830
2007年3月19日,後場,16860,17000,16850,17000,61480,1040268370
2007年3月20日,前場,17130,17220,17100,17130,49750,853158610
2007年3月20日,後場,17130,17170,17070,17140,46162,790610600
2007年3月22日,前場,17400,17430,17360,17400,38402,667972510
2007年3月22日,後場,17420,17430,17330,17380,33823,587956740
2007年3月23日,前場,17460,17490,17340,17390,43720,761545860
2007年3月23日,後場,17420,17460,17370,17440,46399,808060290
2007年3月26日,前場,17450,17490,17360,17410,34706,604814670
2007年3月26日,後場,17410,17480,17410,17470,35468,618917840
2007年3月27日,前場,17390,17540,17380,17520,40382,704282420
2007年3月27日,後場,17520,17520,17340,17430,54948,957169730
2007年3月28日,前場,17390,17470,17360,17400,35995,626601320
2007年3月28日,後場,17360,17370,17160,17250,80388,1386956300
2007年3月29日,前場,17150,17190,17050,17110,45715,782827320
2007年3月29日,後場,17200,17380,17200,17270,65468,1132131070
2007年3月30日,前場,17330,17420,17280,17360,40452,701902740
2007年3月30日,後場,17310,17380,17290,17310,40111,695000060
2007年4月2日,前場,17390,17460,17350,17400,39280,683534890
2007年4月2日,後場,17410,17410,17020,17030,91224,1566567910
2007年4月3日,前場,17180,17210,17120,17190,41351,709892630
2007年4月3日,後場,17190,17310,17150,17270,49078,846562780
2007年4月4日,前場,17440,17580,17420,17530,57798,1011022610
2007年4月4日,後場,17540,17610,17510,17580,42041,738540890
2007年4月5日,前場,17520,17550,17450,17490,45028,788355290
2007年4月5日,後場,17470,17540,17450,17530,33291,582873430
2007年4月6日,前場,17530,17580,17450,17470,32983,577734220
2007年4月6日,後場,17490,17530,17480,17530,25102,439577430
2007年4月9日,前場,17640,17780,17630,17730,53157,940900770
2007年4月9日,後場,17740,17770,17690,17760,32694,579958910
