日付,コード,和名,タイトル,区分,ランク,枚数,前日終,始値,高値,安値,現在値,出来高,高値,終値,始値,300,合計,リアル,,もうすぐストップ高TEST,,もうすぐストップ高,合計,1,2160,ジーエヌアイグループ,東マ,制度,医薬品,42804,15:00:00,715,86,,,,,,銘柄,,,自社株買い,逆日歩,信用倍率,時価総額,決算月,,2017/3/11,20AVG出来高,20AVG出来高指数300以上OK,配当利回り（実績),,,,,,,,,,,,,,,,,,,,,,,,,,,,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,各項目の意味についてはこちらをご覧下さい。,決算期,会計方式,決算発表日,決算月数,売上高,営業利益,経常利益,当期利益,EPS（一株当たり利益）,調整一株当たり利益,BPS（一株当たり純資産）,総資産,自己資本,資本金,有利子負債,自己資本比率,ROA（総資産利益率）,ROE（自己資本利益率）,総資産経常利益率,外国人株比率   ,輸出比率   ,総数,,,,,変動率3ヶ月,半年,１年,２年,,<浮動株>,,<特定株>,営業CF,投資CF,財務CF,現金等,営業CF前期,投資CF前期,財務CF前期,現金等前期,,,,,,,,
2017/3/1,9533,東邦瓦斯,優待日中買成,BUY,,1000,797,795,814,789,797,2657000,,816,816,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/1,6239,(株)ナガオカ,もうすぐストップ高買成,BUY,2,500,935,810,935,810,935,622600,,850,850,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/1,9768,いであ,もうすぐストップ高買成,BUY,1,400,1083,1080,1083,1042,1083,249100,,1080,1080,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/1,9768,いであ,もうすぐストップ高10買成,BUY,2,400,1062,1080,1083,1042,1062,249100,,1080,1080,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/2,6370,栗田工業,優待日中買成,BUY,,,0,2790,2876,2785,0,1954400,,2895,2895,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/3,5387,チヨダウーテ,もうすぐストップ高買成,BUY,1,500,905,785,905,785,905,333400,,1040,1040,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/6,3939,(株)カナミックネットワーク,もうすぐストップ高買成_(株)カナミックネットワーク_買,,2,100,6360,6480,7340,6300,7190,957276,,6900,6880,0,0,,0,,0,,0,,,,,,,,,,,情報・通信,100,,.t&,マザーズ,,,,,,29,"17,007",9,2017/3/4 8:44,6360,43.82,0.2786952,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/7,6594,日本電産,株主優待,1,,100,10640,10600,10615,10600,10600,0,,10570,10570,"-3,300","-3,300","-3,300","-3,300",,0,,0,,,,,,,,,,,電気機器,100,,.t&,東証1部,,3,,,,4,"3,176,706",3,2017/3/4 11:14,10655,694385,7398.672175,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/8,6074,（株）ジェイエスエス,株主優待,2,,400,1481,1481,1481,1480,1480,1036,,1664,1648,"66,900","63,600","66,900","63,600",,0,,0,,,,,,,,,,,サービス業,100,,.t&,JASDAQスタンダード,,,,,,0,"2,929",3,2017/2/25 10:23,1499,4795,6.976725,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/3/9,8051,山善,自己株式の取得,1,,500,1038,1041,1047,1033,1038,39398,,1065,1066,0,"63,600",,"63,600",,0,,0,,,,,,,,,,,卸売業,100,,.t&,東証1部,,,,,0,1,"97,594",3,"42,798",1035,1.79,0.0018616,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
